gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
2863950528	3f9f5f30-ab03-49de-8652-f75965133fcd	a1946862-849f-48b9-9969-7eddfc418da4	Animalia	Chordata	Mammalia	Didelphimorphia	Didelphidae	Didelphis	Didelphis marsupialis		SPECIES	Didelphis marsupialis Linnaeus, 1758	Didelphis marsupialis	Linnaeus, 1758	GT	Yaxchilan	Peten	PRESENT		5c1a4c27-795a-4294-aecc-46d7176706b7	16.9	-90.9667	301.0						1998-08-27T00:00:00	27	8	1998	2439920	2439920	PRESERVED_SPECIMEN	UVG	UVGM	UVGM000338				CC0_1_0		A.L.Grajeda			2020-09-23T17:44:23.633Z		
2821446301	0daed095-478a-4af6-abf5-18acb790fbb2	http://arctos.database.museum/guid/MVZ:Mamm:229873?seid=4777383	Animalia	Chordata	Mammalia	Didelphimorphia	Didelphidae	Didelphis	Didelphis virginiana	virginiana	SUBSPECIES	Didelphis virginiana virginiana	Didelphis virginiana virginiana		US	1141 Harbor Bay Parkway, Alameda	California	PRESENT	1	8edbbde0-055e-11d8-b850-b8a03c50a862	37.727802	-122.231532	100.0						2009-08-07T00:00:00	7	8	2009	7194001	2439923	PRESERVED_SPECIMEN	MVZ	Mammal specimens	MVZ:Mamm:229873		Anna Petrosky		CC0_1_0		Collector(s): Lindsay Wildlife Hospital; Preparator(s): Bruce Garey			2020-10-01T00:38:55.171Z		OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
2804500384	2aa02cf8-c402-412c-9ad1-585e1e185bef	http://arctos.database.museum/guid/ASNHC:Mamm:15003?seid=4427583	Animalia	Chordata	Mammalia	Didelphimorphia	Didelphidae	Didelphis	Didelphis virginiana		SPECIES	Didelphis virginiana Kerr, 1792	Didelphis virginiana		US	San Angelo, Sul Ross St at Red Arroyo	Texas	PRESENT	1	9c0a8aa8-4ce7-49ba-aac7-21a97234f886	31.42956	-100.472209	200.0						2004-04-19T00:00:00	19	4	2004	2439923	2439923	PRESERVED_SPECIMEN	ASNHC	Mammal specimens	ASNHC:Mamm:15003		unknown	2004-04-19T00:00:00	CC0_1_0		Collector(s): Robert C. Dowler			2020-09-10T18:43:01.774Z		OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
2804499938	2aa02cf8-c402-412c-9ad1-585e1e185bef	http://arctos.database.museum/guid/ASNHC:Mamm:8242?seid=4402473	Animalia	Chordata	Mammalia	Didelphimorphia	Didelphidae	Didelphis	Didelphis virginiana		SPECIES	Didelphis virginiana Kerr, 1792	Didelphis virginiana		US	San Angelo, jct Loop 306 and Knickerbock Rd	Texas	PRESENT	1	9c0a8aa8-4ce7-49ba-aac7-21a97234f886	31.416101	-100.473496	500.0						1998-10-15T00:00:00	15	10	1998	2439923	2439923	PRESERVED_SPECIMEN	ASNHC	Mammal specimens	ASNHC:Mamm:8242		unknown	1998-10-15T00:00:00	CC0_1_0		Collector(s): Terry C. Maxwell; Preparator(s): Rebecca Ann Maxwell			2020-09-10T18:43:01.733Z		OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
2804498859	2aa02cf8-c402-412c-9ad1-585e1e185bef	http://arctos.database.museum/guid/ASNHC:Mamm:7564?seid=4401582	Animalia	Chordata	Mammalia	Didelphimorphia	Didelphidae	Didelphis	Didelphis virginiana		SPECIES	Didelphis virginiana Kerr, 1792	Didelphis virginiana		US	San Angelo, Angelo State University	Texas	PRESENT	1	9c0a8aa8-4ce7-49ba-aac7-21a97234f886	31.439542	-100.463111	1000.0						1990-04-17T00:00:00	17	4	1990	2439923	2439923	PRESERVED_SPECIMEN	ASNHC	Mammal specimens	ASNHC:Mamm:7564		unknown	1990-04-17T00:00:00	CC0_1_0		Collector(s): Robert C. Dowler; Preparator(s): Robert C. Dowler			2020-09-10T18:43:01.636Z		OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
2804497940	2aa02cf8-c402-412c-9ad1-585e1e185bef	http://arctos.database.museum/guid/ASNHC:Mamm:8835?seid=4408623	Animalia	Chordata	Mammalia	Didelphimorphia	Didelphidae	Philander	Philander opossum		SPECIES	Philander opossum (Linnaeus, 1758)	Philander opossum		GY	5 km SE Surama	Potaro-Siparuni	PRESENT	1	9c0a8aa8-4ce7-49ba-aac7-21a97234f886	4.1	-59.049999	500.0						1994-07-25T00:00:00	25	7	1994	5219950	5219950	PRESERVED_SPECIMEN	ASNHC	Mammal specimens	ASNHC:Mamm:8835		unknown	1994-07-25T00:00:00	CC0_1_0		Collector(s): Mark D. Engstrom, Burton Lim; Preparator(s): Mark D. Engstrom			2020-09-10T18:43:01.568Z		OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
2804497800	2aa02cf8-c402-412c-9ad1-585e1e185bef	http://arctos.database.museum/guid/ASNHC:Mamm:14145?seid=4424070	Animalia	Chordata	Mammalia	Didelphimorphia	Didelphidae	Didelphis	Didelphis virginiana		SPECIES	Didelphis virginiana Kerr, 1792	Didelphis virginiana		US	Brazos Bend State Park	Texas	PRESENT	1	9c0a8aa8-4ce7-49ba-aac7-21a97234f886	29.369565	-95.627609	500.0						2009-10-23T00:00:00	23	10	2009	2439923	2439923	PRESERVED_SPECIMEN	ASNHC	Mammal specimens	ASNHC:Mamm:14145		unknown	2009-10-23T00:00:00	CC0_1_0		Collector(s): Wesley A. Brashear; Preparator(s): Krystal L. Gibbens			2020-09-10T18:43:01.514Z		OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
2804497118	2aa02cf8-c402-412c-9ad1-585e1e185bef	http://arctos.database.museum/guid/ASNHC:Mamm:10196?seid=4405130	Animalia	Chordata	Mammalia	Didelphimorphia	Didelphidae	Didelphis	Didelphis virginiana		SPECIES	Didelphis virginiana Kerr, 1792	Didelphis virginiana		US	Canyon, Hunsley Hills Golf Course	Texas	PRESENT	1	9c0a8aa8-4ce7-49ba-aac7-21a97234f886	34.991753	-101.927672	950.0						1992-12-29T00:00:00	29	12	1992	2439923	2439923	PRESERVED_SPECIMEN	ASNHC	Mammal specimens	ASNHC:Mamm:10196		unknown	1992-12-29T00:00:00	CC0_1_0		Collector(s): Raymond L. Woodward Jr.; Preparator(s): Lana C. Harvey			2020-09-10T18:43:01.461Z		OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
2804496651	2aa02cf8-c402-412c-9ad1-585e1e185bef	http://arctos.database.museum/guid/ASNHC:Mamm:10964?seid=4405877	Animalia	Chordata	Mammalia	Didelphimorphia	Didelphidae	Didelphis	Didelphis virginiana		SPECIES	Didelphis virginiana Kerr, 1792	Didelphis virginiana		US	5 mi SE Weatherford, 8 mi W Aledo, Moncrief Ranch, high fence	Texas	PRESENT	1	9c0a8aa8-4ce7-49ba-aac7-21a97234f886	32.698834	-97.728165	100.0						1999-05-28T00:00:00	28	5	1999	2439923	2439923	PRESERVED_SPECIMEN	ASNHC	Mammal specimens	ASNHC:Mamm:10964		unknown	1999-05-28T00:00:00	CC0_1_0		Collector(s): Rusty R. Fleeman; Preparator(s): Sarah R. Bubeck			2020-09-10T18:43:01.423Z		OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
2804495799	2aa02cf8-c402-412c-9ad1-585e1e185bef	http://arctos.database.museum/guid/ASNHC:Mamm:11995?seid=4404002	Animalia	Chordata	Mammalia	Didelphimorphia	Didelphidae	Didelphis	Didelphis virginiana		SPECIES	Didelphis virginiana Kerr, 1792	Didelphis virginiana		US	4.4 mi E Weatherford	Texas	PRESENT	1	9c0a8aa8-4ce7-49ba-aac7-21a97234f886	32.698834	-97.728165	100.0						1999-05-01T00:00:00	1	5	1999	2439923	2439923	PRESERVED_SPECIMEN	ASNHC	Mammal specimens	ASNHC:Mamm:11995		unknown	1999-05-01T00:00:00	CC0_1_0		Preparator(s): Reagan A. Mackey			2020-09-10T18:43:01.303Z		OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
