gbifID,datasetKey,occurrenceID,kingdom,phylum,class,order,family,genus,species,infraspecificEpithet,taxonRank,scientificName,verbatimScientificName,verbatimScientificNameAuthorship,countryCode,locality,stateProvince,occurrenceStatus,individualCount,publishingOrgKey,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,elevation,elevationAccuracy,depth,depthAccuracy,eventDate,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,typeStatus,establishmentMeans,lastInterpreted,mediaType,issue
2650655279,4dd6694a-2b15-464e-ae46-3cfb683e821e,PUJ:MPUJ_MAMM:1682,Animalia,Chordata,Mammalia,Didelphimorphia,Didelphidae,Monodelphis,,,GENUS,"Monodelphis Burnett, 1830","Monodelphis melanops (Goldman, 1912)","Linnaeus, 1758",CO,"Parque Nacional Natural Paramillo, Zancón",Córdoba,PRESENT,,0e2f2e28-7790-4c82-b8fb-6ef7b4c764e2,7.657222,-76.021761,505,,92,0,,,,,,,7967492,,PRESERVED_SPECIMEN,Pontificia Universidad Javeriana (PUJ),MPUJ-MAMM,1682,,,,CC_BY_NC_4_0,,,,,2020-09-01T16:04:05.054Z,,COORDINATE_ROUNDED;TAXON_MATCH_HIGHERRANK
2630266331,2dad0cd2-e880-4ec3-90e5-d3f479528cbd,urn:catalog:KU:KUM:NO DISPONIBLE:586dfe083c46de37c4e205a1c9ae1cfc,Animalia,Chordata,Mammalia,Didelphimorphia,Didelphidae,Marmosa,Marmosa mexicana,,SPECIES,"Marmosa mexicana Merriam, 1897",Marmosa mexicana,"Merriam, 1897",MX,LAS TASAS,Chiapas,PRESENT,3,ff90b050-c256-11db-b71b-b8a03c50a862,16.757222,-91.615,953,,410.5,410.5,0,0,1955-03-30T00:00:00,30,3,1955,2439876,2439876,PRESERVED_SPECIMEN,KU,KUM,NO DISPONIBLE,,NO DISPONIBLE,,CC_BY_4_0,Comisión Nacional para el Conocimiento y Uso de la Biodiversidad (CONABIO),NO DISPONIBLE,,,2020-09-01T15:50:01.282Z,,COORDINATE_ROUNDED;ELEVATION_MIN_MAX_SWAPPED;TYPE_STATUS_INVALID;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
2609064539,4bfac3ea-8763-4f4b-a71a-76a6f5f243d3,MCZ:Mamm:30538,Animalia,Chordata,Mammalia,Didelphimorphia,Didelphidae,Marmosa,Marmosa demerarae,,SPECIES,"Marmosa cinerea (Temminck, 1824)","Marmosa cinerea cinerea (Temminck, 1824)","(Temminck, 1824)",BR,"R. Tocantins, Cameta",,PRESENT,1,b4640710-8e03-11d8-b956-b8a03c50a862,-21.2,-42.983333,301,,,,,,1933-01-17T00:00:00,17,1,1933,7940869,7368258,PRESERVED_SPECIMEN,MCZ,Mamm,30538,,[no agent data],,CC_BY_NC_4_0,President and Fellows of Harvard College,Alfonso M. Olalla,,,2020-09-25T01:31:58.108Z,,TAXON_MATCH_HIGHERRANK;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
2609064535,4bfac3ea-8763-4f4b-a71a-76a6f5f243d3,MCZ:Mamm:30537,Animalia,Chordata,Mammalia,Didelphimorphia,Didelphidae,Marmosa,Marmosa murina,murina,SUBSPECIES,Marmosa murina murina,"Marmosa murina murina (Linnaeus, 1758)","(Linnaeus, 1758)",BR,"R. Tocantins, Cameta",,PRESENT,1,b4640710-8e03-11d8-b956-b8a03c50a862,-21.2,-42.983333,301,,,,,,1932-01-21T00:00:00,21,1,1932,9210524,2439873,PRESERVED_SPECIMEN,MCZ,Mamm,30537,,[no agent data],2020-07-22T00:00:00,CC_BY_NC_4_0,President and Fellows of Harvard College,Alfonso M. Olalla,,,2020-09-25T01:32:00.009Z,,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
2573305064,4bfac3ea-8763-4f4b-a71a-76a6f5f243d3,MCZ:Mamm:69312,Animalia,Chordata,Mammalia,Didelphimorphia,Didelphidae,Marmosa,Marmosa mexicana,mayensis,SUBSPECIES,"Marmosa mexicana mayensis Osgood, 1913",Marmosa mexicana mayensis,,BZ,"Crooked Tree, Audubon Property, Jacana Trail",Belize District,PRESENT,1,b4640710-8e03-11d8-b956-b8a03c50a862,17.778559,-88.532171,327,,,,,,2014-06-08T00:00:00,8,6,2014,6163138,2439876,PRESERVED_SPECIMEN,MCZ,Mamm,69312,,Madeleine Mullon,2020-02-18T00:00:00,CC_BY_NC_4_0,President and Fellows of Harvard College,"David Gray Buck, Denver T. Cayetano, Eric Van Dam",,,2020-09-25T01:32:00.457Z,,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
2573305040,4bfac3ea-8763-4f4b-a71a-76a6f5f243d3,MCZ:Mamm:69313,Animalia,Chordata,Mammalia,Didelphimorphia,Didelphidae,Marmosa,Marmosa mexicana,mayensis,SUBSPECIES,"Marmosa mexicana mayensis Osgood, 1913",Marmosa mexicana mayensis,,BZ,"Crooked Tree, Audubon Property, Jacana Trail",Belize District,PRESENT,1,b4640710-8e03-11d8-b956-b8a03c50a862,17.778559,-88.532171,327,,,,,,2014-06-08T00:00:00,8,6,2014,6163138,2439876,PRESERVED_SPECIMEN,MCZ,Mamm,69313,,Madeleine Mullon,2020-02-18T00:00:00,CC_BY_NC_4_0,President and Fellows of Harvard College,"David Gray Buck, Denver T. Cayetano, Eric Van Dam",,,2020-09-25T01:32:01.877Z,,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
2427840485,0daed095-478a-4af6-abf5-18acb790fbb2,http://arctos.database.museum/guid/MVZ:Mamm:193555?seid=1218745,Animalia,Chordata,Mammalia,Didelphimorphia,Didelphidae,Micoureus,Micoureus demerarae,,SPECIES,"Micoureus demerarae (Thomas, 1905)",Micoureus demerarae,,BR,"Ilhazinha, left bank Rio Juruá on Igarapé Arabidi, affluent of Paraná Breu",Amazonas,PRESENT,1,8edbbde0-055e-11d8-b850-b8a03c50a862,-3.28333,-66.2333,500,,,,,,1992-06-01T00:00:00,1,6,1992,2439898,2439898,PRESERVED_SPECIMEN,MVZ,Mammal specimens,MVZ:Mamm:193555,484,James L. Patton,2001-03-23T00:00:00,CC0_1_0,,Collector(s): Jay R. Malcolm,,,2020-10-01T00:38:54.959Z,,GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
2303055097,b15d4952-7d20-46f1-8a3e-556a512b04c5,http://arctos.database.museum/guid/MSB:Mamm:328331?seid=4323454,Animalia,Chordata,Mammalia,Didelphimorphia,Didelphidae,Marmosa,,,GENUS,"Marmosa Gray, 1821",Marmosa isthmica,,PA,Pijivasal,Darien,PRESENT,1,939ed180-aa7b-11db-8edf-b8a03c50a862,8.034411,-77.758921,10,,43,0,,,2013-01-22T00:00:00,22,1,2013,2439860,,PRESERVED_SPECIMEN,MSB,Mammal specimens,MSB:Mamm:328331,,Jonathan L. Dunnum,2019-08-15T00:00:00,CC0_1_0,,Collector(s): Panama Hantavirus Project 2013,,,2020-09-05T18:32:57.110Z,,COORDINATE_ROUNDED;TAXON_MATCH_HIGHERRANK;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
2303055010,b15d4952-7d20-46f1-8a3e-556a512b04c5,http://arctos.database.museum/guid/MSB:Mamm:328330?seid=4323453,Animalia,Chordata,Mammalia,Didelphimorphia,Didelphidae,Marmosa,,,GENUS,"Marmosa Gray, 1821",Marmosa isthmica,,PA,Pijivasal,Darien,PRESENT,1,939ed180-aa7b-11db-8edf-b8a03c50a862,8.034411,-77.758921,10,,43,0,,,2013-01-22T00:00:00,22,1,2013,2439860,,PRESERVED_SPECIMEN,MSB,Mammal specimens,MSB:Mamm:328330,,Jonathan L. Dunnum,2019-08-15T00:00:00,CC0_1_0,,Collector(s): Panama Hantavirus Project 2013,,,2020-09-05T18:32:57.204Z,,COORDINATE_ROUNDED;TAXON_MATCH_HIGHERRANK;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
2303054502,b15d4952-7d20-46f1-8a3e-556a512b04c5,http://arctos.database.museum/guid/MSB:Mamm:328237?seid=4323352,Animalia,Chordata,Mammalia,Didelphimorphia,Didelphidae,Marmosa,,,GENUS,"Marmosa Gray, 1821",Marmosa isthmica,,PA,Yavisa (urbano y boscoso),Darien,PRESENT,1,939ed180-aa7b-11db-8edf-b8a03c50a862,8.175191,-77.709542,10,,59,0,,,2012-10-12T00:00:00,12,10,2012,2439860,,PRESERVED_SPECIMEN,MSB,Mammal specimens,MSB:Mamm:328237,,Jonathan L. Dunnum,2019-08-15T00:00:00,CC0_1_0,,Collector(s): Panama Hantavirus Project 2012,,,2020-09-05T18:32:57.107Z,,COORDINATE_ROUNDED;TAXON_MATCH_HIGHERRANK;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
