name,longitude,latitude,reference,GBIF.ID,full.reference,comment,rep
Marmosa alstoni,-75.63333333,4.516666667,Brown 2004,NA,"Brown, B. E. (2004). Atlas of New World marsupials (pp. 1–320). Field Museum of Natural History,. https://doi.org/10.5962/bhl.title.3410 ",,FALSE
Marmosa alstoni,-75.78333333,5.783333333,Brown 2004,NA,"Brown, B. E. (2004). Atlas of New World marsupials (pp. 1–320). Field Museum of Natural History,. https://doi.org/10.5962/bhl.title.3410 ",,FALSE
Marmosa alstoni,-82.783,9.6,Brown 2004,NA,"Brown, B. E. (2004). Atlas of New World marsupials (pp. 1–320). Field Museum of Natural History,. https://doi.org/10.5962/bhl.title.3410 ",,FALSE
Marmosa alstoni,-83.983,9.717,Brown 2004,NA,"Brown, B. E. (2004). Atlas of New World marsupials (pp. 1–320). Field Museum of Natural History,. https://doi.org/10.5962/bhl.title.3410 ",,FALSE
Marmosa alstoni,-83.917,9.867,Brown 2004,NA,"Brown, B. E. (2004). Atlas of New World marsupials (pp. 1–320). Field Museum of Natural History,. https://doi.org/10.5962/bhl.title.3410 ",,FALSE
Marmosa alstoni,-84,9.9,Brown 2004,NA,"Brown, B. E. (2004). Atlas of New World marsupials (pp. 1–320). Field Museum of Natural History,. https://doi.org/10.5962/bhl.title.3410 ",,FALSE
Marmosa alstoni,-83.9833333333333,9.9,Brown 2004,NA,"Brown, B. E. (2004). Atlas of New World marsupials (pp. 1–320). Field Museum of Natural History,. https://doi.org/10.5962/bhl.title.3410 ",,FALSE
Marmosa alstoni,-84.3166666666667,9.91666666666667,Brown 2004,NA,"Brown, B. E. (2004). Atlas of New World marsupials (pp. 1–320). Field Museum of Natural History,. https://doi.org/10.5962/bhl.title.3410 ",,FALSE
Marmosa alstoni,-84.1333333333333,9.91666666666667,Brown 2004,NA,"Brown, B. E. (2004). Atlas of New World marsupials (pp. 1–320). Field Museum of Natural History,. https://doi.org/10.5962/bhl.title.3410 ",,FALSE
Marmosa alstoni,-84.1833333333333,9.93333333333333,Brown 2004,NA,"Brown, B. E. (2004). Atlas of New World marsupials (pp. 1–320). Field Museum of Natural History,. https://doi.org/10.5962/bhl.title.3410 ",,FALSE
