name,longitude,latitude,reference,GBIF.ID,full.reference,comment,rep
Marmosa germana,-75.1333333333333,0.216666666666667,Voss and Giarla (2021),NA,"Voss, R. S., & Giarla, T. C. (2021). A Revision of the Didelphid Marsupial Genus Marmosa Part 3. A New Species from Western Amazonia, with Redescriptions of M. perplexa Anthony, 1922, and M. germana Thomas, 1904. American Museum Novitates, 2021(3969). https://doi.org/10.1206/3969.1",NA,FALSE
Marmosa germana,-76.7833333,-1.05,Voss and Giarla (2021),NA,"Voss, R. S., & Giarla, T. C. (2021). A Revision of the Didelphid Marsupial Genus Marmosa Part 3. A New Species from Western Amazonia, with Redescriptions of M. perplexa Anthony, 1922, and M. germana Thomas, 1904. American Museum Novitates, 2021(3969). https://doi.org/10.1206/3969.1",NA,FALSE
Marmosa germana,-77.8,-2.21666666666667,Voss and Giarla (2021),NA,"Voss, R. S., & Giarla, T. C. (2021). A Revision of the Didelphid Marsupial Genus Marmosa Part 3. A New Species from Western Amazonia, with Redescriptions of M. perplexa Anthony, 1922, and M. germana Thomas, 1904. American Museum Novitates, 2021(3969). https://doi.org/10.1206/3969.1",NA,FALSE
Marmosa germana,-76.5333333333333,-0.083333333333333,Voss and Giarla (2021),NA,"Voss, R. S., & Giarla, T. C. (2021). A Revision of the Didelphid Marsupial Genus Marmosa Part 3. A New Species from Western Amazonia, with Redescriptions of M. perplexa Anthony, 1922, and M. germana Thomas, 1904. American Museum Novitates, 2021(3969). https://doi.org/10.1206/3969.1",NA,FALSE
Marmosa germana,-75.25,-3.05,Voss and Giarla (2021),NA,"Voss, R. S., & Giarla, T. C. (2021). A Revision of the Didelphid Marsupial Genus Marmosa Part 3. A New Species from Western Amazonia, with Redescriptions of M. perplexa Anthony, 1922, and M. germana Thomas, 1904. American Museum Novitates, 2021(3969). https://doi.org/10.1206/3969.1",NA,FALSE
Marmosa germana,-72.8666666666667,-3.8,Voss and Giarla (2021),NA,"Voss, R. S., & Giarla, T. C. (2021). A Revision of the Didelphid Marsupial Genus Marmosa Part 3. A New Species from Western Amazonia, with Redescriptions of M. perplexa Anthony, 1922, and M. germana Thomas, 1904. American Museum Novitates, 2021(3969). https://doi.org/10.1206/3969.1",NA,FALSE
Marmosa germana,-76.45,-2.53333333333333,Voss and Giarla (2021),NA,"Voss, R. S., & Giarla, T. C. (2021). A Revision of the Didelphid Marsupial Genus Marmosa Part 3. A New Species from Western Amazonia, with Redescriptions of M. perplexa Anthony, 1922, and M. germana Thomas, 1904. American Museum Novitates, 2021(3969). https://doi.org/10.1206/3969.1",NA,FALSE
Marmosa germana,-74.8333333333333,-3.96666666666667,Voss and Giarla (2021),NA,"Voss, R. S., & Giarla, T. C. (2021). A Revision of the Didelphid Marsupial Genus Marmosa Part 3. A New Species from Western Amazonia, with Redescriptions of M. perplexa Anthony, 1922, and M. germana Thomas, 1904. American Museum Novitates, 2021(3969). https://doi.org/10.1206/3969.1",NA,FALSE
Marmosa germana,-73.7,-4.61666666666667,Voss and Giarla (2021),NA,"Voss, R. S., & Giarla, T. C. (2021). A Revision of the Didelphid Marsupial Genus Marmosa Part 3. A New Species from Western Amazonia, with Redescriptions of M. perplexa Anthony, 1922, and M. germana Thomas, 1904. American Museum Novitates, 2021(3969). https://doi.org/10.1206/3969.1",NA,FALSE
Marmosa germana,-76.2,-3,Voss and Giarla (2021),NA,"Voss, R. S., & Giarla, T. C. (2021). A Revision of the Didelphid Marsupial Genus Marmosa Part 3. A New Species from Western Amazonia, with Redescriptions of M. perplexa Anthony, 1922, and M. germana Thomas, 1904. American Museum Novitates, 2021(3969). https://doi.org/10.1206/3969.1",NA,FALSE
