name,longitude,latitude,reference,GBIF.ID,full.reference,comment,rep
Marmosa isthmica,-80.12,-3.45,Rossi et al. 2010,NA,"Rossi, R. V., Voss, R. S., & Lunde, D. P. (2010). A Revision of the Didelphid Marsupial Genus Marmosa Part 1. The Species in Tate’s ‘Mexicana’ and ‘Mitis’ Sections and Other Closely Related Forms. Bulletin of the American Museum of Natural History, 334, 1–83. https://doi.org/10.1206/334.1 ",NA,FALSE
Marmosa isthmica,-79.767,-3,Rossi et al. 2010,NA,"Rossi, R. V., Voss, R. S., & Lunde, D. P. (2010). A Revision of the Didelphid Marsupial Genus Marmosa Part 1. The Species in Tate’s ‘Mexicana’ and ‘Mitis’ Sections and Other Closely Related Forms. Bulletin of the American Museum of Natural History, 334, 1–83. https://doi.org/10.1206/334.1 ",NA,FALSE
Marmosa isthmica,-79.1,-2.167,Rossi et al. 2010,NA,"Rossi, R. V., Voss, R. S., & Lunde, D. P. (2010). A Revision of the Didelphid Marsupial Genus Marmosa Part 1. The Species in Tate’s ‘Mexicana’ and ‘Mitis’ Sections and Other Closely Related Forms. Bulletin of the American Museum of Natural History, 334, 1–83. https://doi.org/10.1206/334.1 ",NA,FALSE
Marmosa isthmica,-80.333,-2,Rossi et al. 2010,NA,"Rossi, R. V., Voss, R. S., & Lunde, D. P. (2010). A Revision of the Didelphid Marsupial Genus Marmosa Part 1. The Species in Tate’s ‘Mexicana’ and ‘Mitis’ Sections and Other Closely Related Forms. Bulletin of the American Museum of Natural History, 334, 1–83. https://doi.org/10.1206/334.1 ",NA,FALSE
Marmosa isthmica,-79.467,-1.55,Rossi et al. 2010,NA,"Rossi, R. V., Voss, R. S., & Lunde, D. P. (2010). A Revision of the Didelphid Marsupial Genus Marmosa Part 1. The Species in Tate’s ‘Mexicana’ and ‘Mitis’ Sections and Other Closely Related Forms. Bulletin of the American Museum of Natural History, 334, 1–83. https://doi.org/10.1206/334.1 ",NA,FALSE
Marmosa isthmica,-79.75,-1.53,Rossi et al. 2010,NA,"Rossi, R. V., Voss, R. S., & Lunde, D. P. (2010). A Revision of the Didelphid Marsupial Genus Marmosa Part 1. The Species in Tate’s ‘Mexicana’ and ‘Mitis’ Sections and Other Closely Related Forms. Bulletin of the American Museum of Natural History, 334, 1–83. https://doi.org/10.1206/334.1 ",NA,FALSE
Marmosa isthmica,-79.917,-0.917,Rossi et al. 2010,NA,"Rossi, R. V., Voss, R. S., & Lunde, D. P. (2010). A Revision of the Didelphid Marsupial Genus Marmosa Part 1. The Species in Tate’s ‘Mexicana’ and ‘Mitis’ Sections and Other Closely Related Forms. Bulletin of the American Museum of Natural History, 334, 1–83. https://doi.org/10.1206/334.1 ",NA,FALSE
Marmosa isthmica,-80.45,-0.517,Rossi et al. 2010,NA,"Rossi, R. V., Voss, R. S., & Lunde, D. P. (2010). A Revision of the Didelphid Marsupial Genus Marmosa Part 1. The Species in Tate’s ‘Mexicana’ and ‘Mitis’ Sections and Other Closely Related Forms. Bulletin of the American Museum of Natural History, 334, 1–83. https://doi.org/10.1206/334.1 ",NA,FALSE
Marmosa isthmica,-80.07,-0.15,Rossi et al. 2010,NA,"Rossi, R. V., Voss, R. S., & Lunde, D. P. (2010). A Revision of the Didelphid Marsupial Genus Marmosa Part 1. The Species in Tate’s ‘Mexicana’ and ‘Mitis’ Sections and Other Closely Related Forms. Bulletin of the American Museum of Natural History, 334, 1–83. https://doi.org/10.1206/334.1 ",NA,FALSE
Marmosa isthmica,-78.8,0.03,Rossi et al. 2010,NA,"Rossi, R. V., Voss, R. S., & Lunde, D. P. (2010). A Revision of the Didelphid Marsupial Genus Marmosa Part 1. The Species in Tate’s ‘Mexicana’ and ‘Mitis’ Sections and Other Closely Related Forms. Bulletin of the American Museum of Natural History, 334, 1–83. https://doi.org/10.1206/334.1 ",NA,FALSE
Marmosa isthmica,-80.1,0,Rossi et al. 2010,NA,"Rossi, R. V., Voss, R. S., & Lunde, D. P. (2010). A Revision of the Didelphid Marsupial Genus Marmosa Part 1. The Species in Tate’s ‘Mexicana’ and ‘Mitis’ Sections and Other Closely Related Forms. Bulletin of the American Museum of Natural History, 334, 1–83. https://doi.org/10.1206/334.1 ",NA,FALSE
Marmosa isthmica,-79.77,-0.25,Rossi et al. 2010,NA,"Rossi, R. V., Voss, R. S., & Lunde, D. P. (2010). A Revision of the Didelphid Marsupial Genus Marmosa Part 1. The Species in Tate’s ‘Mexicana’ and ‘Mitis’ Sections and Other Closely Related Forms. Bulletin of the American Museum of Natural History, 334, 1–83. https://doi.org/10.1206/334.1 ",NA,FALSE
Marmosa isthmica,-78.77,0.12,Rossi et al. 2010,NA,"Rossi, R. V., Voss, R. S., & Lunde, D. P. (2010). A Revision of the Didelphid Marsupial Genus Marmosa Part 1. The Species in Tate’s ‘Mexicana’ and ‘Mitis’ Sections and Other Closely Related Forms. Bulletin of the American Museum of Natural History, 334, 1–83. https://doi.org/10.1206/334.1 ",NA,FALSE
