name,longitude,latitude,reference,GBIF.ID,full.reference,comment,rep
Marmosa lepida,-78.0880555555556,-2.72063888888889,Brito & Pozo-Zamora 2015,NA,"Brito, J., & Pozo-Zamora, G. (n.d.). Ampliación del rango altitudinal de Marmosa lepida (Thomas, 1888) (Didelphimorphia: Didelphidae) en el sureste de Ecuador. 5.",,FALSE
Marmosa lepida,-63.6666666666667,-17.45,Brown 2004,NA,"Brown, B. E. (2004). Atlas of New World marsupials (pp. 1–320). Field Museum of Natural History,. https://doi.org/10.5962/bhl.title.3410",,FALSE
Marmosa lepida,-73.9,-10.6666666666667,Brown 2004,NA,"Brown, B. E. (2004). Atlas of New World marsupials (pp. 1–320). Field Museum of Natural History,. https://doi.org/10.5962/bhl.title.3410",,FALSE
Marmosa lepida,-74.9333333333333,-9.53333333333333,Brown 2004,NA,"Brown, B. E. (2004). Atlas of New World marsupials (pp. 1–320). Field Museum of Natural History,. https://doi.org/10.5962/bhl.title.3410",,FALSE
Marmosa lepida,-54.35,5.90666666666667,Brown 2004,NA,"Brown, B. E. (2004). Atlas of New World marsupials (pp. 1–320). Field Museum of Natural History,. https://doi.org/10.5962/bhl.title.3410","Moved south from 5.96 to 5.90, since it fall in the sea",FALSE
Marmosa lepida,-77.483,-1.733,Brown 2004,NA,"Brown, B. E. (2004). Atlas of New World marsupials (pp. 1–320). Field Museum of Natural History,. https://doi.org/10.5962/bhl.title.3410",,FALSE
Marmosa lepida,-78.55,-3.4,Brown 2004,NA,"Brown, B. E. (2004). Atlas of New World marsupials (pp. 1–320). Field Museum of Natural History,. https://doi.org/10.5962/bhl.title.3410",,FALSE
Marmosa lepida,-75.8,-5.55,Brown 2004,NA,"Brown, B. E. (2004). Atlas of New World marsupials (pp. 1–320). Field Museum of Natural History,. https://doi.org/10.5962/bhl.title.3410",,FALSE
Marmosa lepida,-72.867,3.133,Brown 2004,NA,"Brown, B. E. (2004). Atlas of New World marsupials (pp. 1–320). Field Museum of Natural History,. https://doi.org/10.5962/bhl.title.3410",,FALSE
Marmosa lepida,-70.25,3.5,Brown 2004,NA,"Brown, B. E. (2004). Atlas of New World marsupials (pp. 1–320). Field Museum of Natural History,. https://doi.org/10.5962/bhl.title.3410",,FALSE
Marmosa lepida,-54.6,4.8,Brown 2004,NA,"Brown, B. E. (2004). Atlas of New World marsupials (pp. 1–320). Field Museum of Natural History,. https://doi.org/10.5962/bhl.title.3410",,FALSE
Marmosa lepida,-55.067,4.817,Brown 2004,NA,"Brown, B. E. (2004). Atlas of New World marsupials (pp. 1–320). Field Museum of Natural History,. https://doi.org/10.5962/bhl.title.3410",,FALSE
Marmosa lepida,-55.167,5.833,Brown 2004,NA,"Brown, B. E. (2004). Atlas of New World marsupials (pp. 1–320). Field Museum of Natural History,. https://doi.org/10.5962/bhl.title.3410",,FALSE
Marmosa lepida,-73.9,-10.667,Creighton & Gardner 2008,NA,"Creighton GK, Gardner AL (2008) Genus Marmosa Gray, 1821. In: Gardner AL (Ed) Mammals of South America. Volume 1. Marsupials, Xenarthrans, Shrews and Bats. The University of Chicago Press, Chicago, 51–61. https://doi.org/10.7208/chicago/978022628 2428.001.0001",,TRUE
Marmosa lepida,-63.667,-17.45,Creighton & Gardner 2008,NA,"Creighton GK, Gardner AL (2008) Genus Marmosa Gray, 1821. In: Gardner AL (Ed) Mammals of South America. Volume 1. Marsupials, Xenarthrans, Shrews and Bats. The University of Chicago Press, Chicago, 51–61. https://doi.org/10.7208/chicago/978022628 2428.001.0001",,TRUE
Marmosa lepida,-69.833,-6.583,Creighton & Gardner 2008,NA,"Creighton GK, Gardner AL (2008) Genus Marmosa Gray, 1821. In: Gardner AL (Ed) Mammals of South America. Volume 1. Marsupials, Xenarthrans, Shrews and Bats. The University of Chicago Press, Chicago, 51–61. https://doi.org/10.7208/chicago/978022628 2428.001.0001",,FALSE
Marmosa lepida,-74.933,-9.533,Creighton & Gardner 2008,NA,"Creighton GK, Gardner AL (2008) Genus Marmosa Gray, 1821. In: Gardner AL (Ed) Mammals of South America. Volume 1. Marsupials, Xenarthrans, Shrews and Bats. The University of Chicago Press, Chicago, 51–61. https://doi.org/10.7208/chicago/978022628 2428.001.0001",,FALSE
