name,longitude,latitude,reference,GBIF.ID,full.reference,comment,rep
Marmosa robinsoni,-74.367,4.35,Brown 2004,NA,"Brown, B. E. (2004). Atlas of New World marsupials (pp. 1–320). Field Museum of Natural History,. https://doi.org/10.5962/bhl.title.3410",NA,FALSE
Marmosa robinsoni,-74.5,4.533,Brown 2004,NA,"Brown, B. E. (2004). Atlas of New World marsupials (pp. 1–320). Field Museum of Natural History,. https://doi.org/10.5962/bhl.title.3410",NA,FALSE
Marmosa robinsoni,-74.167,5.367,Brown 2004,NA,"Brown, B. E. (2004). Atlas of New World marsupials (pp. 1–320). Field Museum of Natural History,. https://doi.org/10.5962/bhl.title.3410",NA,FALSE
Marmosa robinsoni,-66.25,6.133,Brown 2004,NA,"Brown, B. E. (2004). Atlas of New World marsupials (pp. 1–320). Field Museum of Natural History,. https://doi.org/10.5962/bhl.title.3410",NA,FALSE
Marmosa robinsoni,-69.117,7.017,Brown 2004,NA,"Brown, B. E. (2004). Atlas of New World marsupials (pp. 1–320). Field Museum of Natural History,. https://doi.org/10.5962/bhl.title.3410",NA,FALSE
Marmosa robinsoni,-69.75,7.117,Brown 2004,NA,"Brown, B. E. (2004). Atlas of New World marsupials (pp. 1–320). Field Museum of Natural History,. https://doi.org/10.5962/bhl.title.3410",NA,FALSE
Marmosa robinsoni,-69.083,7.183,Brown 2004,NA,"Brown, B. E. (2004). Atlas of New World marsupials (pp. 1–320). Field Museum of Natural History,. https://doi.org/10.5962/bhl.title.3410",NA,FALSE
Marmosa robinsoni,-70.05,8,Brown 2004,NA,"Brown, B. E. (2004). Atlas of New World marsupials (pp. 1–320). Field Museum of Natural History,. https://doi.org/10.5962/bhl.title.3410",NA,FALSE
Marmosa robinsoni,-72.5,8.017,Brown 2004,NA,"Brown, B. E. (2004). Atlas of New World marsupials (pp. 1–320). Field Museum of Natural History,. https://doi.org/10.5962/bhl.title.3410",NA,FALSE
Marmosa robinsoni,-67.6,8.267,Brown 2004,NA,"Brown, B. E. (2004). Atlas of New World marsupials (pp. 1–320). Field Museum of Natural History,. https://doi.org/10.5962/bhl.title.3410",NA,FALSE
Marmosa robinsoni,-78.933,8.383,Brown 2004,NA,"Brown, B. E. (2004). Atlas of New World marsupials (pp. 1–320). Field Museum of Natural History,. https://doi.org/10.5962/bhl.title.3410",NA,FALSE
Marmosa robinsoni,-70.35,8.467,Brown 2004,NA,"Brown, B. E. (2004). Atlas of New World marsupials (pp. 1–320). Field Museum of Natural History,. https://doi.org/10.5962/bhl.title.3410",NA,FALSE
Marmosa robinsoni,-63.85,8.483,Brown 2004,NA,"Brown, B. E. (2004). Atlas of New World marsupials (pp. 1–320). Field Museum of Natural History,. https://doi.org/10.5962/bhl.title.3410",NA,FALSE
Marmosa robinsoni,-67.583,8.517,Brown 2004,NA,"Brown, B. E. (2004). Atlas of New World marsupials (pp. 1–320). Field Museum of Natural History,. https://doi.org/10.5962/bhl.title.3410",NA,FALSE
Marmosa robinsoni,-68.7,8.55,Brown 2004,NA,"Brown, B. E. (2004). Atlas of New World marsupials (pp. 1–320). Field Museum of Natural History,. https://doi.org/10.5962/bhl.title.3410",NA,FALSE
Marmosa robinsoni,-64.217,8.6,Brown 2004,NA,"Brown, B. E. (2004). Atlas of New World marsupials (pp. 1–320). Field Museum of Natural History,. https://doi.org/10.5962/bhl.title.3410",NA,FALSE
Marmosa robinsoni,-62.617,8.667,Brown 2004,NA,"Brown, B. E. (2004). Atlas of New World marsupials (pp. 1–320). Field Museum of Natural History,. https://doi.org/10.5962/bhl.title.3410",NA,FALSE
Marmosa robinsoni,-70.417,8.667,Brown 2004,NA,"Brown, B. E. (2004). Atlas of New World marsupials (pp. 1–320). Field Museum of Natural History,. https://doi.org/10.5962/bhl.title.3410",NA,FALSE
Marmosa robinsoni,-71.45,8.717,Brown 2004,NA,"Brown, B. E. (2004). Atlas of New World marsupials (pp. 1–320). Field Museum of Natural History,. https://doi.org/10.5962/bhl.title.3410",NA,FALSE
Marmosa robinsoni,-82.433,8.783,Brown 2004,NA,"Brown, B. E. (2004). Atlas of New World marsupials (pp. 1–320). Field Museum of Natural History,. https://doi.org/10.5962/bhl.title.3410",NA,FALSE
Marmosa robinsoni,-62.7,8.833,Brown 2004,NA,"Brown, B. E. (2004). Atlas of New World marsupials (pp. 1–320). Field Museum of Natural History,. https://doi.org/10.5962/bhl.title.3410",NA,FALSE
Marmosa robinsoni,-70.517,8.833,Brown 2004,NA,"Brown, B. E. (2004). Atlas of New World marsupials (pp. 1–320). Field Museum of Natural History,. https://doi.org/10.5962/bhl.title.3410",NA,FALSE
Marmosa robinsoni,-68.067,8.883,Brown 2004,NA,"Brown, B. E. (2004). Atlas of New World marsupials (pp. 1–320). Field Museum of Natural History,. https://doi.org/10.5962/bhl.title.3410",NA,FALSE
Marmosa robinsoni,-67.417,8.933,Brown 2004,NA,"Brown, B. E. (2004). Atlas of New World marsupials (pp. 1–320). Field Museum of Natural History,. https://doi.org/10.5962/bhl.title.3410",NA,FALSE
Marmosa robinsoni,-80,8.95,Brown 2004,NA,"Brown, B. E. (2004). Atlas of New World marsupials (pp. 1–320). Field Museum of Natural History,. https://doi.org/10.5962/bhl.title.3410",NA,FALSE
Marmosa robinsoni,-67.833,9.05,Brown 2004,NA,"Brown, B. E. (2004). Atlas of New World marsupials (pp. 1–320). Field Museum of Natural History,. https://doi.org/10.5962/bhl.title.3410",NA,FALSE
Marmosa robinsoni,-68.367,9.067,Brown 2004,NA,"Brown, B. E. (2004). Atlas of New World marsupials (pp. 1–320). Field Museum of Natural History,. https://doi.org/10.5962/bhl.title.3410",NA,FALSE
Marmosa robinsoni,-63.833,9.217,Brown 2004,NA,"Brown, B. E. (2004). Atlas of New World marsupials (pp. 1–320). Field Museum of Natural History,. https://doi.org/10.5962/bhl.title.3410",NA,FALSE
Marmosa robinsoni,-79.917,9.267,Brown 2004,NA,"Brown, B. E. (2004). Atlas of New World marsupials (pp. 1–320). Field Museum of Natural History,. https://doi.org/10.5962/bhl.title.3410",NA,FALSE
