name,longitude,latitude,reference,GBIF.ID,full.reference,comment,rep
Marmosa xerophila,-70.617,11.167,Brown 2004,NA,"Brown, B. E. (2004). Atlas of New World marsupials (pp. 1–320). Field Museum of Natural History,. https://doi.org/10.5962/bhl.title.3410",NA,FALSE
Marmosa xerophila,-69.983,11.833,Brown 2004,NA,"Brown, B. E. (2004). Atlas of New World marsupials (pp. 1–320). Field Museum of Natural History,. https://doi.org/10.5962/bhl.title.3410",NA,FALSE
Marmosa xerophila,-70.667,11.033,Gutierrez et al. 2014,NA,"Gutiérrez, E. E., Boria, R. A., & Anderson, R. P. (2014). Can biotic interactions cause allopatry? Niche models, competition, and distributions of South American mouse opossums. Ecography, 37(8), 741–753. https://doi.org/10.1111/ecog.00620",NA,FALSE
Marmosa xerophila,-70.617,11.167,Gutierrez et al. 2014,NA,"Gutiérrez, E. E., Boria, R. A., & Anderson, R. P. (2014). Can biotic interactions cause allopatry? Niche models, competition, and distributions of South American mouse opossums. Ecography, 37(8), 741–753. https://doi.org/10.1111/ecog.00620",NA,TRUE
Marmosa xerophila,-72.033,11.2,Gutierrez et al. 2014,NA,"Gutiérrez, E. E., Boria, R. A., & Anderson, R. P. (2014). Can biotic interactions cause allopatry? Niche models, competition, and distributions of South American mouse opossums. Ecography, 37(8), 741–753. https://doi.org/10.1111/ecog.00620",NA,FALSE
Marmosa xerophila,-69.6,11.283,Gutierrez et al. 2014,NA,"Gutiérrez, E. E., Boria, R. A., & Anderson, R. P. (2014). Can biotic interactions cause allopatry? Niche models, competition, and distributions of South American mouse opossums. Ecography, 37(8), 741–753. https://doi.org/10.1111/ecog.00620",NA,FALSE
Marmosa xerophila,-69.833,11.717,Gutierrez et al. 2014,NA,"Gutiérrez, E. E., Boria, R. A., & Anderson, R. P. (2014). Can biotic interactions cause allopatry? Niche models, competition, and distributions of South American mouse opossums. Ecography, 37(8), 741–753. https://doi.org/10.1111/ecog.00620",NA,FALSE
Marmosa xerophila,-70.067,11.8,Gutierrez et al. 2014,NA,"Gutiérrez, E. E., Boria, R. A., & Anderson, R. P. (2014). Can biotic interactions cause allopatry? Niche models, competition, and distributions of South American mouse opossums. Ecography, 37(8), 741–753. https://doi.org/10.1111/ecog.00620",NA,FALSE
Marmosa xerophila,-69.967,11.817,Gutierrez et al. 2014,NA,"Gutiérrez, E. E., Boria, R. A., & Anderson, R. P. (2014). Can biotic interactions cause allopatry? Niche models, competition, and distributions of South American mouse opossums. Ecography, 37(8), 741–753. https://doi.org/10.1111/ecog.00620",NA,FALSE
Marmosa xerophila,-69.983,11.833,Gutierrez et al. 2014,NA,"Gutiérrez, E. E., Boria, R. A., & Anderson, R. P. (2014). Can biotic interactions cause allopatry? Niche models, competition, and distributions of South American mouse opossums. Ecography, 37(8), 741–753. https://doi.org/10.1111/ecog.00620",NA,TRUE
Marmosa xerophila,-70.083,11.9,Gutierrez et al. 2014,NA,"Gutiérrez, E. E., Boria, R. A., & Anderson, R. P. (2014). Can biotic interactions cause allopatry? Niche models, competition, and distributions of South American mouse opossums. Ecography, 37(8), 741–753. https://doi.org/10.1111/ecog.00620",NA,FALSE
Marmosa xerophila,-70,12.1,Gutierrez et al. 2014,NA,"Gutiérrez, E. E., Boria, R. A., & Anderson, R. P. (2014). Can biotic interactions cause allopatry? Niche models, competition, and distributions of South American mouse opossums. Ecography, 37(8), 741–753. https://doi.org/10.1111/ecog.00620",NA,FALSE
Marmosa xerophila,-69.933,12.165,Gutierrez et al. 2014,NA,"Gutiérrez, E. E., Boria, R. A., & Anderson, R. P. (2014). Can biotic interactions cause allopatry? Niche models, competition, and distributions of South American mouse opossums. Ecography, 37(8), 741–753. https://doi.org/10.1111/ecog.00620",NA,FALSE
Marmosa xerophila,-70.77,11.12,Rossi et al. 2010,NA,"Rossi, R. V., Voss, R. S., & Lunde, D. P. (2010). A Revision of the Didelphid Marsupial Genus Marmosa Part 1. The Species in Tate’s ‘Mexicana’ and ‘Mitis’ Sections and Other Closely Related Forms. Bulletin of the American Museum of Natural History, 334, 1–83. https://doi.org/10.1206/334.1",NA,FALSE
Marmosa xerophila,-71.949,11.35,Rossi et al. 2010,NA,"Rossi, R. V., Voss, R. S., & Lunde, D. P. (2010). A Revision of the Didelphid Marsupial Genus Marmosa Part 1. The Species in Tate’s ‘Mexicana’ and ‘Mitis’ Sections and Other Closely Related Forms. Bulletin of the American Museum of Natural History, 334, 1–83. https://doi.org/10.1206/334.1",NA,FALSE
Marmosa xerophila,-71.83,11.645,Rossi et al. 2010,NA,"Rossi, R. V., Voss, R. S., & Lunde, D. P. (2010). A Revision of the Didelphid Marsupial Genus Marmosa Part 1. The Species in Tate’s ‘Mexicana’ and ‘Mitis’ Sections and Other Closely Related Forms. Bulletin of the American Museum of Natural History, 334, 1–83. https://doi.org/10.1206/334.1",NA,FALSE
Marmosa xerophila,-69.98,11.83,Rossi et al. 2010,NA,"Rossi, R. V., Voss, R. S., & Lunde, D. P. (2010). A Revision of the Didelphid Marsupial Genus Marmosa Part 1. The Species in Tate’s ‘Mexicana’ and ‘Mitis’ Sections and Other Closely Related Forms. Bulletin of the American Museum of Natural History, 334, 1–83. https://doi.org/10.1206/334.1",NA,TRUE
