name,longitude,latitude,reference,GBIF.ID,full.reference,comment,rep
Marmosa zeledoni,-78.68,1.47,Rossi et al. 2010,NA,"Rossi, R. V., Voss, R. S., & Lunde, D. P. (2010). A Revision of the Didelphid Marsupial Genus Marmosa Part 1. The Species in Tate’s ‘Mexicana’ and ‘Mitis’ Sections and Other Closely Related Forms. Bulletin of the American Museum of Natural History, 334, 1–83. https://doi.org/10.1206/334.1",NA,FALSE
Marmosa zeledoni,-76.87,3.85,Rossi et al. 2010,NA,"Rossi, R. V., Voss, R. S., & Lunde, D. P. (2010). A Revision of the Didelphid Marsupial Genus Marmosa Part 1. The Species in Tate’s ‘Mexicana’ and ‘Mitis’ Sections and Other Closely Related Forms. Bulletin of the American Museum of Natural History, 334, 1–83. https://doi.org/10.1206/334.1",NA,FALSE
Marmosa zeledoni,-77.23,8.12,Rossi et al. 2010,NA,"Rossi, R. V., Voss, R. S., & Lunde, D. P. (2010). A Revision of the Didelphid Marsupial Genus Marmosa Part 1. The Species in Tate’s ‘Mexicana’ and ‘Mitis’ Sections and Other Closely Related Forms. Bulletin of the American Museum of Natural History, 334, 1–83. https://doi.org/10.1206/334.1",NA,FALSE
Marmosa zeledoni,-77.3,8.17,Rossi et al. 2010,NA,"Rossi, R. V., Voss, R. S., & Lunde, D. P. (2010). A Revision of the Didelphid Marsupial Genus Marmosa Part 1. The Species in Tate’s ‘Mexicana’ and ‘Mitis’ Sections and Other Closely Related Forms. Bulletin of the American Museum of Natural History, 334, 1–83. https://doi.org/10.1206/334.1",NA,FALSE
Marmosa zeledoni,-82.62,8.48,Rossi et al. 2010,NA,"Rossi, R. V., Voss, R. S., & Lunde, D. P. (2010). A Revision of the Didelphid Marsupial Genus Marmosa Part 1. The Species in Tate’s ‘Mexicana’ and ‘Mitis’ Sections and Other Closely Related Forms. Bulletin of the American Museum of Natural History, 334, 1–83. https://doi.org/10.1206/334.1",NA,FALSE
Marmosa zeledoni,-81.78,8.5,Rossi et al. 2010,NA,"Rossi, R. V., Voss, R. S., & Lunde, D. P. (2010). A Revision of the Didelphid Marsupial Genus Marmosa Part 1. The Species in Tate’s ‘Mexicana’ and ‘Mitis’ Sections and Other Closely Related Forms. Bulletin of the American Museum of Natural History, 334, 1–83. https://doi.org/10.1206/334.1",NA,FALSE
Marmosa zeledoni,-83,8.73,Rossi et al. 2010,NA,"Rossi, R. V., Voss, R. S., & Lunde, D. P. (2010). A Revision of the Didelphid Marsupial Genus Marmosa Part 1. The Species in Tate’s ‘Mexicana’ and ‘Mitis’ Sections and Other Closely Related Forms. Bulletin of the American Museum of Natural History, 334, 1–83. https://doi.org/10.1206/334.1",NA,FALSE
Marmosa zeledoni,-82.27,8.73,Rossi et al. 2010,NA,"Rossi, R. V., Voss, R. S., & Lunde, D. P. (2010). A Revision of the Didelphid Marsupial Genus Marmosa Part 1. The Species in Tate’s ‘Mexicana’ and ‘Mitis’ Sections and Other Closely Related Forms. Bulletin of the American Museum of Natural History, 334, 1–83. https://doi.org/10.1206/334.1",NA,FALSE
Marmosa zeledoni,-82.63,8.78,Rossi et al. 2010,NA,"Rossi, R. V., Voss, R. S., & Lunde, D. P. (2010). A Revision of the Didelphid Marsupial Genus Marmosa Part 1. The Species in Tate’s ‘Mexicana’ and ‘Mitis’ Sections and Other Closely Related Forms. Bulletin of the American Museum of Natural History, 334, 1–83. https://doi.org/10.1206/334.1",NA,FALSE
Marmosa zeledoni,-82.6,8.85,Rossi et al. 2010,NA,"Rossi, R. V., Voss, R. S., & Lunde, D. P. (2010). A Revision of the Didelphid Marsupial Genus Marmosa Part 1. The Species in Tate’s ‘Mexicana’ and ‘Mitis’ Sections and Other Closely Related Forms. Bulletin of the American Museum of Natural History, 334, 1–83. https://doi.org/10.1206/334.1",NA,FALSE
