"minTempWarm","bio9","bio16","bio14","bio18","bio19","bio7","DEM","topoWet","tri","ECO_NUM","EVI","NVDI","VCF"
192,24.2666664123535,1127,226,846,947,9.89999961853027,442,10.4099998474121,77.120002746582,42,4495,9029,81
201,23.6499996185303,1014,78,799,261,13.3000011444092,392,12.1700000762939,6.75,66,5384,8559,81
189,22.3999996185303,1361,149,999,511,12.8000011444092,683,9.84000015258789,25.5,66,5620,8672,78
207,25.8833332061768,651,140,575,503,12.2000007629395,289,9.76000022888184,35.8800010681152,74,5282,8868,73
200,23.3999996185303,1362,139,1015,472,12.8000011444092,423,10.6599998474121,35,66,4160,6710,21
197,24.6666660308838,1133,232,857,952,10,355,10.3100004196167,19.5,42,6681,9079,82
208,26.0166664123535,645,138,576,498,12.3000011444092,251,9.5,24.3799991607666,74,5214,7775,39
208,26.033332824707,646,139,576,500,12.3000011444092,252,9.36999988555908,44,74,4925,7697,51
169,22.3833332061768,610,117,461,555,11.9000015258789,1225,7.67999982833862,166.880004882812,21,5594,8146,22
213,26.1666660308838,1015,103,399,891,11.3000011444092,198,12.2200002670288,2.25,42,5045,8444,58
201,24.6999988555908,1047,241,819,936,11,412,11.7600002288818,7.88000011444092,42,5594,8414,76
174,22.5166664123535,1332,247,862,1123,10.6999988555908,693,9.17000007629395,71.75,42,5160,8677,74
168,21.2333335876465,1302,301,1060,1134,11.3999996185303,960,11.3999996185303,7.61999988555908,21,5963,8115,51
207,25.4166660308838,1046,229,739,963,11.1999988555908,297,10.8900003433228,18,42,5664,8936,69
