"minTempWarm","bio9","bio16","bio14","bio18","bio19","bio7","DEM","topoWet","tri","ECO_NUM","EVI","NVDI","VCF"
215,25.6666660308838,1035,223,861,855,10.7999992370605,97,12.3800001144409,4.75,58,4383,8417,75
225,26.5666675567627,904,136,538,691,10.1000003814697,39,12.3199996948242,11.5,32,4897,8225,65
158,21.75,1086,99,479,1016,12,1474,9.69999980926514,8.61999988555908,36,1090,1937,7
196,24.1999988555908,1081,72,639,845,9.39999961853027,608,8.19999980926514,183.5,9,5310,7328,44
197,24.1666660308838,802,62,459,633,10.6000003814697,764,8.02999973297119,107.379997253418,36,5622,7869,77
195,22.6000003814697,713,21,627,546,10.6999988555908,986,9.35999965667725,55.25,36,5121,7726,41
225,27.0833339691162,933,37,291,857,11.5999984741211,273,12.8699998855591,4.5,1,5751,7479,33
213,26.1666660308838,1015,103,399,891,11.3000011444092,198,12.2200002670288,2.25,42,5377,8676,63
169,22.5499992370605,617,100,371,494,12.7000007629395,1055,8.39999961853027,141.880004882812,21,5110,8315,82
218,26.1333332061768,957,150,583,880,11.6000003814697,224,12.8800001144409,3.11999988555908,42,5999,8314,66
168,21.2333335876465,1302,301,1060,1134,11.3999996185303,960,11.3999996185303,7.61999988555908,21,5963,8115,51
168,23,565,99,565,366,13.5,977,9.60999965667725,28.1200008392334,21,4475,6444,18
207,25.8833332061768,651,140,575,503,12.2000007629395,289,9.76000022888184,35.8800010681152,74,5282,8868,73
218,26.3500003814697,688,157,550,549,11.7999992370605,201,11.5799999237061,11.6199998855591,42,6972,7939,62
202,25.283332824707,701,134,549,552,12.3999996185303,388,9.14000034332275,79,23,5479,8325,57
222,26.6166667938232,1010,227,741,878,11.5,128,12.4799995422363,6.75,42,1833,3902,60
219,25.716667175293,922,181,769,598,11.3999996185303,120,13.3999996185303,1.37999999523163,63,4516,8828,81
222,26.75,674,131,660,532,11.4999980926514,139,12.7700004577637,4.25,42,5880,8185,74
156,19.1166667938232,430,28,371,155,10.2000007629395,1411,6.59000015258789,286.5,75,4194,7072,47
175,21.8833332061768,510,46,437,185,11.2000007629395,916,9.10000038146973,105.620002746582,75,6141,7853,37
