"minTempWarm","bio9","bio16","bio14","bio18","bio19","bio7","DEM","topoWet","tri","ECO_NUM","EVI","NVDI","VCF"
247,26.8833332061768,271,10,130,55,11.5,33,12.3500003814697,3,13,1946,2659,0
245,26.0499992370605,213,10,170,93,11,81,9.97999954223633,15,13,2362,3422,4
252,28.0499992370605,283,3,56,31,11.1999988555908,22,13.1700000762939,4.25,8,1838,2794,1
247,26.966667175293,335,6,233,54,11.4000015258789,32,13.2600002288818,1.87999999523163,13,1592,2516,3
252,28.0166664123535,281,4,59,31,11.1000003814697,14,13.3900003433228,2.11999988555908,8,1475,2347,1
243,26.6333332061768,334,4,226,29,11.0999984741211,76,12.7600002288818,5.61999988555908,13,2159,3405,4
249,26.6833324432373,238,10,136,93,11.1000022888184,40,12.9200000762939,1.87999999523163,13,2221,3285,2
243,26.5666675567627,357,10,252,36,11.2000007629395,81,12.9499998092651,5.11999988555908,13,2420,3639,2
202,23.6000003814697,325,13,267,117,11,471,7.59999990463257,127.75,19,3525,5524,29
248,26.5500011444092,239,7,205,73,10.1999988555908,9,12.8299999237061,3.38000011444092,13,3044,4102,4
248,26.6333332061768,237,9,97,95,11,39,12.5600004196167,4.25,13,1938,3109,3
241,26.2666664123535,208,8,162,101,10.9999980926514,122,9.21000003814697,55.75,13,2658,4286,18
249,26.6333332061768,220,8,134,93,10.8999996185303,42,12.0799999237061,3.38000011444092,13,2560,4033,4
252,27.0500011444092,247,8,131,109,10.4999980926514,16,12.289999961853,7,13,2622,4305,10
246,27.4166660308838,388,6,180,50,10.4000015258789,6,13.289999961853,2,8,1661,2531,3
