"minTempWarm","bio9","bio16","bio14","bio18","bio19","bio7","DEM","topoWet","tri","ECO_NUM","EVI","NVDI","VCF"
226,25.7666664123535,1401,65,753,597,9.10000038146973,5,12.75,2.5,29,5480,6756,38
195,24.4333324432373,629,15,388,116,13.3999996185303,415,10.4300003051758,32.6199989318848,9,2862,4532,41
160,19.8666667938232,571,17,409,153,11.1999998092651,1116,9.76000022888184,43,3,1974,3538,43
186,22.533332824707,680,25,452,216,11.3999996185303,682,8.64000034332275,59.75,3,4197,7098,71
212,24.9833335876465,857,27,515,169,11.5,206,10.5600004196167,7.61999988555908,11,4008,5631,57
172,21.4833335876465,1007,66,415,912,11.3999996185303,981,8.42000007629395,72.75,29,4965,7881,40
131,17.3166675567627,870,33,344,454,12.1000003814697,1737,8.68000030517578,117.120002746582,19,5063,8077,82
150,19.3333339691162,873,34,336,359,11.9000005722046,1298,9.96000003814697,71.75,29,4069,7246,47
212,25.1166667938232,1216,118,582,1112,10.3999996185303,356,9.81999969482422,37,29,4587,8744,83
190,22.8833332061768,1148,117,474,1020,10.2000007629395,754,8.28999996185303,64.5,29,5249,8510,83
223,26.2666664123535,1205,114,660,1200,10.8000011444092,186,10.3900003433228,19.1200008392334,29,5099,7836,23
232,26.216667175293,812,151,583,801,10,44,10.3400001525879,29,29,5055,7950,35
190,23.6499996185303,1290,30,624,1055,12.3999996185303,596,8.27000045776367,85,30,6065,7647,51
190,23.5166664123535,1320,65,635,1188,11.8000011444092,639,6.80999994277954,273.380004882812,30,7792,8895,42
192,24.0166664123535,904,42,491,676,12.2999992370605,533,9.36999988555908,83.620002746582,30,5389,8252,57
163,20.8333339691162,1134,26,587,644,12,1063,8.64999961853027,108.879997253418,30,4693,8508,62
152,20.0666675567627,1161,10,303,281,11.1999988555908,1172,7.28000020980835,130.75,19,5541,7961,76
221,26.1333332061768,1197,6,397,654,11.6000003814697,253,10.1099996566772,68.120002746582,19,5339,8107,54
166,20.7000007629395,1116,42,436,357,12,1127,9.47999954223633,47.5,19,2596,4352,13
228,25.25,996,94,803,631,9,2,10.3000001907349,7.88000011444092,29,5063,8409,71
232,26.5,1117,80,508,842,9.29999923706055,8,12.7299995422363,1.5,29,4703,7084,24
108,14.3833332061768,1256,139,866,596,10.8000011444092,2133,7.78000020980835,123.5,67,5848,8434,88
136,17.8333320617676,1041,161,606,758,11.3999996185303,1572,8.65999984741211,80.379997253418,67,5367,8277,78
89,12.25,1343,152,1037,693,10.5,2465,7.25,146.5,67,3978,8762,66
196,23.0166664123535,1012,107,641,680,11.0999984741211,687,8.05000019073486,137.25,67,4978,8768,82
220,25.533332824707,1477,42,602,1171,10.5,137,10.8299999237061,14.25,30,5122,6575,37
125,15.7333335876465,957,30,617,257,10.6999998092651,1829,8.47000026702881,79.379997253418,67,5698,7587,14
173,21.466667175293,1126,30,443,751,11.0999984741211,935,7.15999984741211,181.619995117188,67,5960,7924,76
145,18.1833343505859,1394,20,680,376,11.7999992370605,1432,8.81999969482422,26.25,67,3833,6021,7
151,19.5833339691162,1278,24,600,889,11.8999996185303,1327,8.76000022888184,77.5,30,5786,7986,44
148,18.7666664123535,1130,20,447,418,10.6999998092651,1366,6.76999998092651,195.880004882812,67,5548,8393,66
151,19.8333339691162,704,26,469,635,9.20000076293945,1374,7.17999982833862,112.120002746582,22,4994,8933,40
143,18.3833332061768,798,52,478,441,9.10000038146973,1629,7.26999998092651,237.880004882812,22,4019,7971,58
225,25.533332824707,1083,124,1013,541,8.70000076293945,29,12.6099996566772,2.75,78,3336,5736,12
224,26.25,1689,246,1233,1452,8.90000152587891,111,8.9399995803833,42.75,15,5629,8170,51
147,19.1000003814697,949,46,864,412,9.39999961853027,1407,9.32999992370605,49.3800010681152,45,5871,7844,21
