"minTempWarm","bio9","bio16","bio14","bio18","bio19","bio7","DEM","topoWet","tri","ECO_NUM","EVI","NVDI","VCF"
207,25.8833332061768,900,183,626,822,11.2999992370605,286,11.8199996948242,16.1200008392334,42,6195,8754,79
159,20.2000007629395,1264,269,909,1112,10.7000007629395,1114,9.19999980926514,36.75,21,4625,7207,24
185,22.4499988555908,692,77,388,692,8.70000076293945,1083,9.06999969482422,144.380004882812,21,5809,7974,32
215,26.3166675567627,1086,72,319,1024,10.4000015258789,427,10.2399997711182,10.8800001144409,1,2746,4344,9
178,22.4500007629395,1270,85,366,1230,9.60000038146973,1026,7.84999990463257,174.880004882812,18,5195,7803,15
206,25.6333332061768,1470,55,291,1259,11.1000003814697,505,10.1800003051758,43.3800010681152,1,5016,7032,13
163,19.5500011444092,694,82,618,572,8.79999923706055,1570,8.63000011444092,116.120002746582,36,4709,7115,24
134,17.3000011444092,1018,50,463,935,11,2037,7.25,170.5,18,2402,2433,48
184,20.8999996185303,744,38,708,578,10.2999992370605,1302,8.72999954223633,166.880004882812,36,5558,8027,40
159,19.8000011444092,1078,126,936,917,10.4000005722046,1381,7.55000019073486,175.380004882812,36,3841,4040,73
153,19.283332824707,855,159,782,855,10.0999994277954,1571,7.17999982833862,66.620002746582,36,5801,6970,52
147,18.5666675567627,783,96,623,709,10.8000011444092,1760,8.59000015258789,75.379997253418,9,5374,7329,56
164,21.7333335876465,692,92,497,566,12.1999998092651,1290,8.85000038146973,62.8800010681152,9,5364,7313,15
145,18.3333339691162,1052,113,610,960,10.5999994277954,1786,6.8899998664856,262.880004882812,9,4390,7058,30
170,22.25,675,73,463,591,12.1000003814697,1212,9.27000045776367,83.120002746582,9,5324,7210,14
160,20.8500003814697,876,84,450,575,11.5,1507,8.77000045776367,102.379997253418,9,4083,8185,60
190,23.0666675567627,981,119,808,844,10.2999992370605,1021,10.1400003433228,55.75,36,5087,7582,31
109,14.0666666030884,928,67,638,613,11.4999990463257,2554,8.76000022888184,79.5,36,5996,7481,33
161,21.033332824707,674,33,326,485,10.6000003814697,1519,7.96000003814697,148.119995117188,9,3684,6868,26
161,20.2000007629395,938,71,807,751,10.1999988555908,1603,9.61999988555908,27.75,36,4036,5679,19
202,23.8999996185303,830,38,657,725,10.7999992370605,781,9.02000045776367,114,36,3307,4346,7
158,20.1499996185303,1067,112,878,665,9.80000019073486,1573,9.47000026702881,38.5,36,4840,6562,18
184,22.3500003814697,1279,78,563,1082,8.70000076293945,845,8.17000007629395,175.25,9,5990,7956,37
165,20.8500003814697,1015,38,612,695,9.5,1309,7.46000003814697,128,9,4043,7687,72
196,24.1999988555908,1081,72,639,845,9.39999961853027,608,8.19999980926514,183.5,9,4987,7219,32
198,22.9333324432373,594,55,524,556,9.90000152587891,853,9.02999973297119,41.3800010681152,36,5889,7751,26
153,19.283332824707,414,29,362,143,10,1474,9.1899995803833,123.75,75,3235,5255,10
196,23.3666667938232,831,18,476,741,9,659,8.01000022888184,115.379997253418,15,4042,8917,74
185,22.5166664123535,829,50,410,781,9,877,7.34999990463257,125,15,4504,8452,15
199,24.4833335876465,576,53,406,315,11.1999988555908,514,8.05000019073486,123.620002746582,75,6298,8187,39
