"minTempWarm","bio9","bio16","bio14","bio18","bio19","bio7","DEM","topoWet","tri","ECO_NUM","EVI","NVDI","VCF"
199,26.5833339691162,1113,195,649,1113,14,99,13.0100002288818,7.11999988555908,43,5687,7922,82
200,26.6166667938232,1131,198,671,1131,14.3000011444092,92,12.3900003433228,6,43,3427,6339,77
209,26.4333324432373,975,125,405,835,11.7999992370605,298,10.8199996948242,93,43,6729,8616,79
207,26.8666667938232,1308,140,529,1223,12.9999980926514,128,12.8100004196167,4.75,43,6146,8605,83
219,27.2666664123535,964,91,370,871,12,132,12.960000038147,4.5,43,5781,7689,57
215,27.3666667938232,1104,126,434,1008,12.3000011444092,126,13.3999996185303,1.62000000476837,82,5649,7928,82
212,27.3999996185303,1291,109,401,1148,12.3999996185303,123,12.460000038147,0.879999995231628,82,5832,8046,81
132,19.783332824707,1215,101,655,1116,11.7000007629395,1659,10.2299995422363,39.75,69,4120,7040,52
192,25.1166667938232,1125,72,396,1125,11.6000003814697,505,8.82999992370605,85.25,82,6154,7701,80
146,20.25,848,46,559,848,11.6000003814697,1280,9.10999965667725,45.8800010681152,69,4620,6714,18
232,27.9499988555908,843,81,294,437,11.2999992370605,15,12.6899995803833,2.61999988555908,25,4377,7057,24
242,28.9833335876465,1267,20,108,1267,12.7999992370605,69,11.0500001907349,6.25,9,2474,4438,4
139,21.9500007629395,837,72,726,310,12.5,1559,7.8899998664856,166.25,69,3986,7857,70
144,19.8333339691162,886,67,482,243,11.1000003814697,1475,11.4899997711182,38.3800010681152,7,3522,8717,70
224,25.8000011444092,700,86,443,440,10.2000007629395,84,11.9200000762939,2.11999988555908,25,5170,7182,70
144,19.8833332061768,984,50,542,262,10.8999996185303,1463,8.8100004196167,91.25,69,1833,1881,13
216,25.3499984741211,925,79,465,323,11.3999996185303,178,10.0799999237061,10.6199998855591,24,5910,8423,73
235,27.283332824707,689,69,253,327,8.39999961853027,8,11.8500003814697,9.61999988555908,25,4751,5704,11
219,25.6833324432373,904,48,353,219,11.5,127,12.0900001525879,7.61999988555908,82,6027,7845,40
243,27.6166667938232,662,95,390,576,7.70000076293945,0,13.3599996566772,1.75,25,1924,2243,3
220,25.533332824707,705,31,340,185,11.3000011444092,164,12.7299995422363,4.11999988555908,82,4781,8803,77
218,25.2666664123535,701,60,424,285,11.4000015258789,126,12.3100004196167,4.88000011444092,25,5515,8290,77
235,27.3833332061768,848,11,325,848,10.7000007629395,45,12.3999996185303,9.11999988555908,82,5303,8037,72
216,26.3833332061768,904,27,239,153,10.8999996185303,329,12.8400001525879,10.3800001144409,9,4306,7631,68
240,27.7999992370605,902,9,266,902,10.5000019073486,66,13.5100002288818,21.25,9,2347,3615,6
234,27.25,667,13,152,99,11.1999988555908,39,12.6899995803833,7.75,9,1668,2511,3
221,25.1166667938232,711,87,429,330,10.5,124,12.8500003814697,5.5,25,5126,7880,44
230,27.7333335876465,897,68,250,373,11.5,44,12.6400003433228,3.11999988555908,25,5239,6227,77
232,25.8000011444092,824,87,449,297,9.29999923706055,27,12.2399997711182,8.25,25,6781,8538,78
161,22.2333335876465,918,56,292,918,11.8000011444092,935,10.7600002288818,8.5,24,5568,8345,66
215,27.3999996185303,1182,124,455,1091,12.2000007629395,123,13.0799999237061,2.11999988555908,82,5413,7752,81
212,27.216667175293,1225,141,493,1149,12.8999996185303,112,13.6899995803833,1.5,43,5093,7421,82
239,28.3166675567627,1192,26,127,1192,12.5,86,10.4499998092651,7,9,4045,5726,10
220,25.4333324432373,737,27,278,160,11,229,12.1300001144409,8.61999988555908,82,4835,8284,70
197,23.966667175293,789,35,576,239,11.2000007629395,490,9.46000003814697,119.5,24,6498,8442,56
216,27.4499988555908,1040,108,385,992,12.2000007629395,123,12.7799997329712,4,82,5150,8232,73
