"name","longitude","latitude","reference","GBIF ID","full reference","comment"
"Marmosa regina",-64.2,-16.583,"Brown 2004",,"Brown, B. E. (2004). Atlas of New World marsupials (pp. 1–320). Field Museum of Natural History,. https://doi.org/10.5962/bhl.title.3410",
"Marmosa regina",-67.767,-16.35,"Brown 2004",,"Brown, B. E. (2004). Atlas of New World marsupials (pp. 1–320). Field Museum of Natural History,. https://doi.org/10.5962/bhl.title.3410",
"Marmosa regina",-67.833,-16.333,"Brown 2004",,"Brown, B. E. (2004). Atlas of New World marsupials (pp. 1–320). Field Museum of Natural History,. https://doi.org/10.5962/bhl.title.3410",
"Marmosa regina",-67.6,-15.767,"Brown 2004",,"Brown, B. E. (2004). Atlas of New World marsupials (pp. 1–320). Field Museum of Natural History,. https://doi.org/10.5962/bhl.title.3410",
"Marmosa regina",-67.667,-15.7,"Brown 2004",,"Brown, B. E. (2004). Atlas of New World marsupials (pp. 1–320). Field Museum of Natural History,. https://doi.org/10.5962/bhl.title.3410",
"Marmosa regina",-67.867,-15.467,"Brown 2004",,"Brown, B. E. (2004). Atlas of New World marsupials (pp. 1–320). Field Museum of Natural History,. https://doi.org/10.5962/bhl.title.3410",
"Marmosa regina",-68.3,-15.467,"Brown 2004",,"Brown, B. E. (2004). Atlas of New World marsupials (pp. 1–320). Field Museum of Natural History,. https://doi.org/10.5962/bhl.title.3410",
"Marmosa regina",-68.167,-15.25,"Brown 2004",,"Brown, B. E. (2004). Atlas of New World marsupials (pp. 1–320). Field Museum of Natural History,. https://doi.org/10.5962/bhl.title.3410",
"Marmosa regina",-68.45,-14.767,"Brown 2004",,"Brown, B. E. (2004). Atlas of New World marsupials (pp. 1–320). Field Museum of Natural History,. https://doi.org/10.5962/bhl.title.3410",
"Marmosa regina",-68.15,-13.75,"Brown 2004",,"Brown, B. E. (2004). Atlas of New World marsupials (pp. 1–320). Field Museum of Natural History,. https://doi.org/10.5962/bhl.title.3410",
"Marmosa regina",-70.717,-13.4,"Brown 2004",,"Brown, B. E. (2004). Atlas of New World marsupials (pp. 1–320). Field Museum of Natural History,. https://doi.org/10.5962/bhl.title.3410",
"Marmosa regina",-69.6,-13.367,"Brown 2004",,"Brown, B. E. (2004). Atlas of New World marsupials (pp. 1–320). Field Museum of Natural History,. https://doi.org/10.5962/bhl.title.3410",
"Marmosa regina",-71.983,-13.317,"Brown 2004",,"Brown, B. E. (2004). Atlas of New World marsupials (pp. 1–320). Field Museum of Natural History,. https://doi.org/10.5962/bhl.title.3410",
"Marmosa regina",-71.167,-12.933,"Brown 2004",,"Brown, B. E. (2004). Atlas of New World marsupials (pp. 1–320). Field Museum of Natural History,. https://doi.org/10.5962/bhl.title.3410",
"Marmosa regina",-67.283,-12.833,"Brown 2004",,"Brown, B. E. (2004). Atlas of New World marsupials (pp. 1–320). Field Museum of Natural History,. https://doi.org/10.5962/bhl.title.3410",
"Marmosa regina",-68.817,-12.8,"Brown 2004",,"Brown, B. E. (2004). Atlas of New World marsupials (pp. 1–320). Field Museum of Natural History,. https://doi.org/10.5962/bhl.title.3410",
"Marmosa regina",-71.217,-12.783,"Brown 2004",,"Brown, B. E. (2004). Atlas of New World marsupials (pp. 1–320). Field Museum of Natural History,. https://doi.org/10.5962/bhl.title.3410",
"Marmosa regina",-70.917,-12.217,"Brown 2004",,"Brown, B. E. (2004). Atlas of New World marsupials (pp. 1–320). Field Museum of Natural History,. https://doi.org/10.5962/bhl.title.3410",
"Marmosa regina",-71.317,-11.85,"Brown 2004",,"Brown, B. E. (2004). Atlas of New World marsupials (pp. 1–320). Field Museum of Natural History,. https://doi.org/10.5962/bhl.title.3410",
"Marmosa regina",-71.283,-11.833,"Brown 2004",,"Brown, B. E. (2004). Atlas of New World marsupials (pp. 1–320). Field Museum of Natural History,. https://doi.org/10.5962/bhl.title.3410",
"Marmosa regina",-74.3,-11.15,"Brown 2004",,"Brown, B. E. (2004). Atlas of New World marsupials (pp. 1–320). Field Museum of Natural History,. https://doi.org/10.5962/bhl.title.3410",
"Marmosa regina",-75.533,-10.067,"Brown 2004",,"Brown, B. E. (2004). Atlas of New World marsupials (pp. 1–320). Field Museum of Natural History,. https://doi.org/10.5962/bhl.title.3410",
"Marmosa regina",-75.867,-9.5,"Brown 2004",,"Brown, B. E. (2004). Atlas of New World marsupials (pp. 1–320). Field Museum of Natural History,. https://doi.org/10.5962/bhl.title.3410",
"Marmosa regina",-75.933,-9.5,"Brown 2004",,"Brown, B. E. (2004). Atlas of New World marsupials (pp. 1–320). Field Museum of Natural History,. https://doi.org/10.5962/bhl.title.3410",
"Marmosa regina",-75.917,-9.483,"Brown 2004",,"Brown, B. E. (2004). Atlas of New World marsupials (pp. 1–320). Field Museum of Natural History,. https://doi.org/10.5962/bhl.title.3410",
"Marmosa regina",-75.967,-9.45,"Brown 2004",,"Brown, B. E. (2004). Atlas of New World marsupials (pp. 1–320). Field Museum of Natural History,. https://doi.org/10.5962/bhl.title.3410",
"Marmosa regina",-74.317,-8.6,"Brown 2004",,"Brown, B. E. (2004). Atlas of New World marsupials (pp. 1–320). Field Museum of Natural History,. https://doi.org/10.5962/bhl.title.3410",
"Marmosa regina",-74.317,-8.567,"Brown 2004",,"Brown, B. E. (2004). Atlas of New World marsupials (pp. 1–320). Field Museum of Natural History,. https://doi.org/10.5962/bhl.title.3410",
"Marmosa regina",-72.817,-8.367,"Brown 2004",,"Brown, B. E. (2004). Atlas of New World marsupials (pp. 1–320). Field Museum of Natural History,. https://doi.org/10.5962/bhl.title.3410",
"Marmosa regina",-74.717,-8.25,"Brown 2004",,"Brown, B. E. (2004). Atlas of New World marsupials (pp. 1–320). Field Museum of Natural History,. https://doi.org/10.5962/bhl.title.3410",
"Marmosa regina",-74.75,-7.833,"Brown 2004",,"Brown, B. E. (2004). Atlas of New World marsupials (pp. 1–320). Field Museum of Natural History,. https://doi.org/10.5962/bhl.title.3410",
"Marmosa regina",-75.017,-7.333,"Brown 2004",,"Brown, B. E. (2004). Atlas of New World marsupials (pp. 1–320). Field Museum of Natural History,. https://doi.org/10.5962/bhl.title.3410",
"Marmosa regina",-76.733,-7.25,"Brown 2004",,"Brown, B. E. (2004). Atlas of New World marsupials (pp. 1–320). Field Museum of Natural History,. https://doi.org/10.5962/bhl.title.3410",
"Marmosa regina",-70.75,-6.833,"Brown 2004",,"Brown, B. E. (2004). Atlas of New World marsupials (pp. 1–320). Field Museum of Natural History,. https://doi.org/10.5962/bhl.title.3410",
"Marmosa regina",-75.1,-6.733,"Brown 2004",,"Brown, B. E. (2004). Atlas of New World marsupials (pp. 1–320). Field Museum of Natural History,. https://doi.org/10.5962/bhl.title.3410",
"Marmosa regina",-68.917,-6.533,"Brown 2004",,"Brown, B. E. (2004). Atlas of New World marsupials (pp. 1–320). Field Museum of Natural History,. https://doi.org/10.5962/bhl.title.3410",
"Marmosa regina",-77.4,-6.517,"Brown 2004",,"Brown, B. E. (2004). Atlas of New World marsupials (pp. 1–320). Field Museum of Natural History,. https://doi.org/10.5962/bhl.title.3410",
"Marmosa regina",-76.967,-6.05,"Brown 2004",,"Brown, B. E. (2004). Atlas of New World marsupials (pp. 1–320). Field Museum of Natural History,. https://doi.org/10.5962/bhl.title.3410",
"Marmosa regina",-76.083,-5.9,"Brown 2004",,"Brown, B. E. (2004). Atlas of New World marsupials (pp. 1–320). Field Museum of Natural History,. https://doi.org/10.5962/bhl.title.3410",
"Marmosa regina",-77.25,-5.867,"Brown 2004",,"Brown, B. E. (2004). Atlas of New World marsupials (pp. 1–320). Field Museum of Natural History,. https://doi.org/10.5962/bhl.title.3410",
"Marmosa regina",-78.167,-4.467,"Brown 2004",,"Brown, B. E. (2004). Atlas of New World marsupials (pp. 1–320). Field Museum of Natural History,. https://doi.org/10.5962/bhl.title.3410",
"Marmosa regina",-75.467,-11.2,"GBIF 2021",1987345916,"GBIF.org (17 February 2021) GBIF Occurrence Download https://doi.org/10.15468/dl.6atwvr",
"Marmosa regina",-70.85,-6.75,"GBIF 2021",1145769445,"GBIF.org (17 February 2021) GBIF Occurrence Download https://doi.org/10.15468/dl.6atwvr",
"Marmosa regina",-68.933,-6.583,"GBIF 2021",1145769435,"GBIF.org (17 February 2021) GBIF Occurrence Download https://doi.org/10.15468/dl.6atwvr",
"Marmosa regina",-68.767,-6.467,"GBIF 2021",1145769440,"GBIF.org (17 February 2021) GBIF Occurrence Download https://doi.org/10.15468/dl.6atwvr",
"Marmosa regina",-67.68333,-15.68333,"GBIF 2021",1987276768,"GBIF.org (17 February 2021) GBIF Occurrence Download https://doi.org/10.15468/dl.6atwvr",
"Marmosa regina",-67.5,-15.66667,"GBIF 2021",1987322524,"GBIF.org (17 February 2021) GBIF Occurrence Download https://doi.org/10.15468/dl.6atwvr",
"Marmosa regina",-67.81667,-15.51667,"GBIF 2021",1987327797,"GBIF.org (17 February 2021) GBIF Occurrence Download https://doi.org/10.15468/dl.6atwvr",
"Marmosa regina",-71.216667,-10.133333,"GBIF 2021",1145705834,"GBIF.org (17 February 2021) GBIF Occurrence Download https://doi.org/10.15468/dl.6atwvr",
"Marmosa regina",-70.083333,-6.833333,"GBIF 2021",1145769377,"GBIF.org (17 February 2021) GBIF Occurrence Download https://doi.org/10.15468/dl.6atwvr",
"Marmosa regina",-72.816667,-8.366667,"GBIF 2021",1145769329,"GBIF.org (17 February 2021) GBIF Occurrence Download https://doi.org/10.15468/dl.6atwvr",
"Marmosa regina",-78.16123,-4.45563,"GBIF 2021",1145726289,"GBIF.org (17 February 2021) GBIF Occurrence Download https://doi.org/10.15468/dl.6atwvr",
"Marmosa regina",-77.751,-4.022,"GBIF 2021",1145729461,"GBIF.org (17 February 2021) GBIF Occurrence Download https://doi.org/10.15468/dl.6atwvr",
"Marmosa regina",-77.817,-0.983,"GBIF 2021",1987274527,"GBIF.org (17 February 2021) GBIF Occurrence Download https://doi.org/10.15468/dl.6atwvr",
"Marmosa regina",-72.783,-8.667,"Gutiérrez et al. 2010",,"Gutiérrez, E. E., Jansa, S. A., & Voss, R. S. (2010). Molecular Systematics of Mouse Opossums (Didelphidae: Marmosa): Assessing Species Limits using Mitochondrial DNA Sequences, with Comments on Phylogenetic Relationships and Biogeography. American Museum Novitates, 2010(3692), 1. https://doi.org/10.1206/708.1",
"Marmosa regina",-70.733,-6.8,"Gutiérrez et al. 2010",,"Gutiérrez, E. E., Jansa, S. A., & Voss, R. S. (2010). Molecular Systematics of Mouse Opossums (Didelphidae: Marmosa): Assessing Species Limits using Mitochondrial DNA Sequences, with Comments on Phylogenetic Relationships and Biogeography. American Museum Novitates, 2010(3692), 1. https://doi.org/10.1206/708.1",
