"species","longitude","latitude","reference","GBIF ID","full reference","comment"
"Marmosa rubra",-71.283,-11.833,"Brown 2004",,"Brown, B. E. (2004). Atlas of New World marsupials (pp. 1–320). Field Museum of Natural History,. https://doi.org/10.5962/bhl.title.3410",
"Marmosa rubra",-78.157,-4.458,"GBIF 2021",1145724613,"GBIF.org (17 February 2021) GBIF Occurrence Download https://doi.org/10.15468/dl.6atwvr",
"Marmosa rubra",-78.161,-4.456,"GBIF 2021",1145726263,"GBIF.org (17 February 2021) GBIF Occurrence Download https://doi.org/10.15468/dl.6atwvr",
"Marmosa rubra",-78.16123,-4.45563,"GBIF 2021",1145726263,"GBIF.org (17 February 2021) GBIF Occurrence Download https://doi.org/10.15468/dl.6atwvr",
"Marmosa rubra",-71.25,-12.833,"Rossi et al. 2010",,"Rossi, R. V., Voss, R. S., & Lunde, D. P. (2010). A Revision of the Didelphid Marsupial Genus Marmosa Part 1. The Species in Tate’s ‘Mexicana’ and ‘Mitis’ Sections and Other Closely Related Forms. Bulletin of the American Museum of Natural History, 334, 1–83. https://doi.org/10.1206/334.1",
"Marmosa rubra",-78.167,-4.467,"Rossi et al. 2010",,"Rossi, R. V., Voss, R. S., & Lunde, D. P. (2010). A Revision of the Didelphid Marsupial Genus Marmosa Part 1. The Species in Tate’s ‘Mexicana’ and ‘Mitis’ Sections and Other Closely Related Forms. Bulletin of the American Museum of Natural History, 334, 1–83. https://doi.org/10.1206/334.1",
"Marmosa rubra",-78.4,-4.1,"Rossi et al. 2010",,"Rossi, R. V., Voss, R. S., & Lunde, D. P. (2010). A Revision of the Didelphid Marsupial Genus Marmosa Part 1. The Species in Tate’s ‘Mexicana’ and ‘Mitis’ Sections and Other Closely Related Forms. Bulletin of the American Museum of Natural History, 334, 1–83. https://doi.org/10.1206/334.1",
"Marmosa rubra",-74.083,-2.367,"Rossi et al. 2010",,"Rossi, R. V., Voss, R. S., & Lunde, D. P. (2010). A Revision of the Didelphid Marsupial Genus Marmosa Part 1. The Species in Tate’s ‘Mexicana’ and ‘Mitis’ Sections and Other Closely Related Forms. Bulletin of the American Museum of Natural History, 334, 1–83. https://doi.org/10.1206/334.1",
"Marmosa rubra",-77.45,-2.117,"Rossi et al. 2010",,"Rossi, R. V., Voss, R. S., & Lunde, D. P. (2010). A Revision of the Didelphid Marsupial Genus Marmosa Part 1. The Species in Tate’s ‘Mexicana’ and ‘Mitis’ Sections and Other Closely Related Forms. Bulletin of the American Museum of Natural History, 334, 1–83. https://doi.org/10.1206/334.1",
"Marmosa rubra",-76.967,-2.067,"Rossi et al. 2010",,"Rossi, R. V., Voss, R. S., & Lunde, D. P. (2010). A Revision of the Didelphid Marsupial Genus Marmosa Part 1. The Species in Tate’s ‘Mexicana’ and ‘Mitis’ Sections and Other Closely Related Forms. Bulletin of the American Museum of Natural History, 334, 1–83. https://doi.org/10.1206/334.1",
"Marmosa rubra",-77.95,-1.533,"Rossi et al. 2010",,"Rossi, R. V., Voss, R. S., & Lunde, D. P. (2010). A Revision of the Didelphid Marsupial Genus Marmosa Part 1. The Species in Tate’s ‘Mexicana’ and ‘Mitis’ Sections and Other Closely Related Forms. Bulletin of the American Museum of Natural History, 334, 1–83. https://doi.org/10.1206/334.1",
"Marmosa rubra",-77.78,-1.05,"Rossi et al. 2010",,"Rossi, R. V., Voss, R. S., & Lunde, D. P. (2010). A Revision of the Didelphid Marsupial Genus Marmosa Part 1. The Species in Tate’s ‘Mexicana’ and ‘Mitis’ Sections and Other Closely Related Forms. Bulletin of the American Museum of Natural History, 334, 1–83. https://doi.org/10.1206/334.1",
"Marmosa rubra",-77.28,-0.5,"Rossi et al. 2010",,"Rossi, R. V., Voss, R. S., & Lunde, D. P. (2010). A Revision of the Didelphid Marsupial Genus Marmosa Part 1. The Species in Tate’s ‘Mexicana’ and ‘Mitis’ Sections and Other Closely Related Forms. Bulletin of the American Museum of Natural History, 334, 1–83. https://doi.org/10.1206/334.1",
"Marmosa rubra",-77.333,-0.433,"Rossi et al. 2010",,"Rossi, R. V., Voss, R. S., & Lunde, D. P. (2010). A Revision of the Didelphid Marsupial Genus Marmosa Part 1. The Species in Tate’s ‘Mexicana’ and ‘Mitis’ Sections and Other Closely Related Forms. Bulletin of the American Museum of Natural History, 334, 1–83. https://doi.org/10.1206/334.1",
"Marmosa rubra",-76.33,-0.03,"Rossi et al. 2010",,"Rossi, R. V., Voss, R. S., & Lunde, D. P. (2010). A Revision of the Didelphid Marsupial Genus Marmosa Part 1. The Species in Tate’s ‘Mexicana’ and ‘Mitis’ Sections and Other Closely Related Forms. Bulletin of the American Museum of Natural History, 334, 1–83. https://doi.org/10.1206/334.1",
"Marmosa rubra",-75.333,0.467,"Rossi et al. 2010",,"Rossi, R. V., Voss, R. S., & Lunde, D. P. (2010). A Revision of the Didelphid Marsupial Genus Marmosa Part 1. The Species in Tate’s ‘Mexicana’ and ‘Mitis’ Sections and Other Closely Related Forms. Bulletin of the American Museum of Natural History, 334, 1–83. https://doi.org/10.1206/334.1",
