"species","longitude","latitude","reference","GBIF ID","full reference","comment"
"Marmosa rutteri",-73.72,-12.7,"Voss et al. 2020",,"Voss, R. S., Giarla, T. C., Díaz-Nieto, J. F., & Jansa, S. A. (2020). A Revision of the Didelphid Marsupial Genus MarmosaPart 2. Species of the Rapposa Group (Subgenus Micoureus). Bulletin of the American Museum of Natural History, 439(1), 1. https://doi.org/10.1206/0003-0090.439.1.1",
"Marmosa rutteri",-69.05,-12.55,"Voss et al. 2020",,"Voss, R. S., Giarla, T. C., Díaz-Nieto, J. F., & Jansa, S. A. (2020). A Revision of the Didelphid Marsupial Genus MarmosaPart 2. Species of the Rapposa Group (Subgenus Micoureus). Bulletin of the American Museum of Natural History, 439(1), 1. https://doi.org/10.1206/0003-0090.439.1.1",
"Marmosa rutteri",-70.7,-12.43,"Voss et al. 2020",,"Voss, R. S., Giarla, T. C., Díaz-Nieto, J. F., & Jansa, S. A. (2020). A Revision of the Didelphid Marsupial Genus MarmosaPart 2. Species of the Rapposa Group (Subgenus Micoureus). Bulletin of the American Museum of Natural History, 439(1), 1. https://doi.org/10.1206/0003-0090.439.1.1",
"Marmosa rutteri",-74.87,-10.45,"Voss et al. 2020",,"Voss, R. S., Giarla, T. C., Díaz-Nieto, J. F., & Jansa, S. A. (2020). A Revision of the Didelphid Marsupial Genus MarmosaPart 2. Species of the Rapposa Group (Subgenus Micoureus). Bulletin of the American Museum of Natural History, 439(1), 1. https://doi.org/10.1206/0003-0090.439.1.1",
"Marmosa rutteri",-72.78,-8.67,"Voss et al. 2020",,"Voss, R. S., Giarla, T. C., Díaz-Nieto, J. F., & Jansa, S. A. (2020). A Revision of the Didelphid Marsupial Genus MarmosaPart 2. Species of the Rapposa Group (Subgenus Micoureus). Bulletin of the American Museum of Natural History, 439(1), 1. https://doi.org/10.1206/0003-0090.439.1.1",
"Marmosa rutteri",-74.32,-8.6,"Voss et al. 2020",,"Voss, R. S., Giarla, T. C., Díaz-Nieto, J. F., & Jansa, S. A. (2020). A Revision of the Didelphid Marsupial Genus MarmosaPart 2. Species of the Rapposa Group (Subgenus Micoureus). Bulletin of the American Museum of Natural History, 439(1), 1. https://doi.org/10.1206/0003-0090.439.1.1",
"Marmosa rutteri",-72.78,-8.37,"Voss et al. 2020",,"Voss, R. S., Giarla, T. C., Díaz-Nieto, J. F., & Jansa, S. A. (2020). A Revision of the Didelphid Marsupial Genus MarmosaPart 2. Species of the Rapposa Group (Subgenus Micoureus). Bulletin of the American Museum of Natural History, 439(1), 1. https://doi.org/10.1206/0003-0090.439.1.1",
"Marmosa rutteri",-74.72,-8.25,"Voss et al. 2020",,"Voss, R. S., Giarla, T. C., Díaz-Nieto, J. F., & Jansa, S. A. (2020). A Revision of the Didelphid Marsupial Genus MarmosaPart 2. Species of the Rapposa Group (Subgenus Micoureus). Bulletin of the American Museum of Natural History, 439(1), 1. https://doi.org/10.1206/0003-0090.439.1.1",
"Marmosa rutteri",-74.91,-7.92,"Voss et al. 2020",,"Voss, R. S., Giarla, T. C., Díaz-Nieto, J. F., & Jansa, S. A. (2020). A Revision of the Didelphid Marsupial Genus MarmosaPart 2. Species of the Rapposa Group (Subgenus Micoureus). Bulletin of the American Museum of Natural History, 439(1), 1. https://doi.org/10.1206/0003-0090.439.1.1",
"Marmosa rutteri",-70.75,-6.83,"Voss et al. 2020",,"Voss, R. S., Giarla, T. C., Díaz-Nieto, J. F., & Jansa, S. A. (2020). A Revision of the Didelphid Marsupial Genus MarmosaPart 2. Species of the Rapposa Group (Subgenus Micoureus). Bulletin of the American Museum of Natural History, 439(1), 1. https://doi.org/10.1206/0003-0090.439.1.1",
"Marmosa rutteri",-70.73,-6.8,"Voss et al. 2020",,"Voss, R. S., Giarla, T. C., Díaz-Nieto, J. F., & Jansa, S. A. (2020). A Revision of the Didelphid Marsupial Genus MarmosaPart 2. Species of the Rapposa Group (Subgenus Micoureus). Bulletin of the American Museum of Natural History, 439(1), 1. https://doi.org/10.1206/0003-0090.439.1.1",
"Marmosa rutteri",-75.1,-6.73,"Voss et al. 2020",,"Voss, R. S., Giarla, T. C., Díaz-Nieto, J. F., & Jansa, S. A. (2020). A Revision of the Didelphid Marsupial Genus MarmosaPart 2. Species of the Rapposa Group (Subgenus Micoureus). Bulletin of the American Museum of Natural History, 439(1), 1. https://doi.org/10.1206/0003-0090.439.1.1",
"Marmosa rutteri",-68.93,-6.58,"Voss et al. 2020",,"Voss, R. S., Giarla, T. C., Díaz-Nieto, J. F., & Jansa, S. A. (2020). A Revision of the Didelphid Marsupial Genus MarmosaPart 2. Species of the Rapposa Group (Subgenus Micoureus). Bulletin of the American Museum of Natural History, 439(1), 1. https://doi.org/10.1206/0003-0090.439.1.1",
"Marmosa rutteri",-68.92,-6.53,"Voss et al. 2020",,"Voss, R. S., Giarla, T. C., Díaz-Nieto, J. F., & Jansa, S. A. (2020). A Revision of the Didelphid Marsupial Genus MarmosaPart 2. Species of the Rapposa Group (Subgenus Micoureus). Bulletin of the American Museum of Natural History, 439(1), 1. https://doi.org/10.1206/0003-0090.439.1.1",
