"species","longitude","latitude","reference","GBIF ID","full reference","comment"
"Marmosa waterhousei",-78.16666667,-4.466666667,"Gutiérrez et al. 2010",,"Gutiérrez, E. E., Jansa, S. A., & Voss, R. S. (2010). Molecular Systematics of Mouse Opossums (Didelphidae: Marmosa): Assessing Species Limits using Mitochondrial DNA Sequences, with Comments on Phylogenetic Relationships and Biogeography. American Museum Novitates, 2010(3692), 1. https://doi.org/10.1206/708.1",
"Marmosa waterhousei",-76.4666666666667,-0.683333333333333,"Gutiérrez et al. 2010",,"Gutiérrez, E. E., Jansa, S. A., & Voss, R. S. (2010). Molecular Systematics of Mouse Opossums (Didelphidae: Marmosa): Assessing Species Limits using Mitochondrial DNA Sequences, with Comments on Phylogenetic Relationships and Biogeography. American Museum Novitates, 2010(3692), 1. https://doi.org/10.1206/708.1",
"Marmosa waterhousei",-76.4666666666667,-0.65,"Gutiérrez et al. 2010",,"Gutiérrez, E. E., Jansa, S. A., & Voss, R. S. (2010). Molecular Systematics of Mouse Opossums (Didelphidae: Marmosa): Assessing Species Limits using Mitochondrial DNA Sequences, with Comments on Phylogenetic Relationships and Biogeography. American Museum Novitates, 2010(3692), 1. https://doi.org/10.1206/708.1",
"Marmosa waterhousei",-72.5833333333333,3.41666666666667,"Gutiérrez et al. 2010",,"Gutiérrez, E. E., Jansa, S. A., & Voss, R. S. (2010). Molecular Systematics of Mouse Opossums (Didelphidae: Marmosa): Assessing Species Limits using Mitochondrial DNA Sequences, with Comments on Phylogenetic Relationships and Biogeography. American Museum Novitates, 2010(3692), 1. https://doi.org/10.1206/708.1",
"Marmosa waterhousei",-73.4166666666667,3.96666666666667,"Gutiérrez et al. 2010",,"Gutiérrez, E. E., Jansa, S. A., & Voss, R. S. (2010). Molecular Systematics of Mouse Opossums (Didelphidae: Marmosa): Assessing Species Limits using Mitochondrial DNA Sequences, with Comments on Phylogenetic Relationships and Biogeography. American Museum Novitates, 2010(3692), 1. https://doi.org/10.1206/708.1",
"Marmosa waterhousei",-78.31666667,-5.133333333,"Gutiérrez et al. 2011",,"Gutiérrez, E. E., Soriano, P. J., Rossi, R. V., Murillo, J. J., Ochoa-G, J., & Aguilera, M. (2011). Occurrence of Marmosa waterhousei in the Venezuelan Andes, with comments on its biogeographic significance. Mammalia, 75(4). https://doi.org/10.1515/MAMM.2011.051",
"Marmosa waterhousei",-76.6,-4.816666667,"Gutiérrez et al. 2011",,"Gutiérrez, E. E., Soriano, P. J., Rossi, R. V., Murillo, J. J., Ochoa-G, J., & Aguilera, M. (2011). Occurrence of Marmosa waterhousei in the Venezuelan Andes, with comments on its biogeographic significance. Mammalia, 75(4). https://doi.org/10.1515/MAMM.2011.051",
"Marmosa waterhousei",-78.95,-4.066666667,"Gutiérrez et al. 2011",,"Gutiérrez, E. E., Soriano, P. J., Rossi, R. V., Murillo, J. J., Ochoa-G, J., & Aguilera, M. (2011). Occurrence of Marmosa waterhousei in the Venezuelan Andes, with comments on its biogeographic significance. Mammalia, 75(4). https://doi.org/10.1515/MAMM.2011.051",
"Marmosa waterhousei",-77.76666667,-4.05,"Gutiérrez et al. 2011",,"Gutiérrez, E. E., Soriano, P. J., Rossi, R. V., Murillo, J. J., Ochoa-G, J., & Aguilera, M. (2011). Occurrence of Marmosa waterhousei in the Venezuelan Andes, with comments on its biogeographic significance. Mammalia, 75(4). https://doi.org/10.1515/MAMM.2011.051",
"Marmosa waterhousei",-78.55,-3.4,"Gutiérrez et al. 2011",,"Gutiérrez, E. E., Soriano, P. J., Rossi, R. V., Murillo, J. J., Ochoa-G, J., & Aguilera, M. (2011). Occurrence of Marmosa waterhousei in the Venezuelan Andes, with comments on its biogeographic significance. Mammalia, 75(4). https://doi.org/10.1515/MAMM.2011.051",
