"name","longitude","latitude","reference","GBIF ID","full reference","comment"
"Monodelphis adusta",-78.117,-1.45,"Brown 2004",,"Brown, B. E. (2004). Atlas of New World marsupials (pp. 1–320). Field Museum of Natural History,. https://doi.org/10.5962/bhl.title.3410",
"Monodelphis adusta",-73.617,4.15,"Brown 2004",,"Brown, B. E. (2004). Atlas of New World marsupials (pp. 1–320). Field Museum of Natural History,. https://doi.org/10.5962/bhl.title.3410",
"Monodelphis adusta",-71.75,8.017,"Brown 2004",,"Brown, B. E. (2004). Atlas of New World marsupials (pp. 1–320). Field Museum of Natural History,. https://doi.org/10.5962/bhl.title.3410",
"Monodelphis adusta",-77.283,8.083,"Brown 2004",,"Brown, B. E. (2004). Atlas of New World marsupials (pp. 1–320). Field Museum of Natural History,. https://doi.org/10.5962/bhl.title.3410",
"Monodelphis adusta",-78.05,8.35,"Brown 2004",,"Brown, B. E. (2004). Atlas of New World marsupials (pp. 1–320). Field Museum of Natural History,. https://doi.org/10.5962/bhl.title.3410",
"Monodelphis adusta",-77.5,8.458,"Brown 2004",,"Brown, B. E. (2004). Atlas of New World marsupials (pp. 1–320). Field Museum of Natural History,. https://doi.org/10.5962/bhl.title.3410",
"Monodelphis adusta",-71.667,8.5,"Brown 2004",,"Brown, B. E. (2004). Atlas of New World marsupials (pp. 1–320). Field Museum of Natural History,. https://doi.org/10.5962/bhl.title.3410",
"Monodelphis adusta",-74.35,4.6,"GBIF 2021",1211808676,"GBIF.org (17 February 2021) GBIF Occurrence Download https://doi.org/10.15468/dl.6atwvr",
"Monodelphis adusta",-73.181,7.061,"GBIF 2021",1020747085,"GBIF.org (17 February 2021) GBIF Occurrence Download https://doi.org/10.15468/dl.6atwvr",
"Monodelphis adusta",-73.069454,4.671486,"Lew & Perez Hernández 2003",,"Lew, D., & Pérez-Hernádez, R. (2004). Una nueva especie del género Monodelphis (Didelphimorphia: Didelphidae) de la sierra de Lema, Venezuela. Memoria de la Fundación La Salle de Ciencias Naturales, 150(160), 7–25.",
"Monodelphis adusta",-73.5960499681632,4.20066243273818,"Lew & Perez Hernández 2003",,"Lew, D., & Pérez-Hernádez, R. (2004). Una nueva especie del género Monodelphis (Didelphimorphia: Didelphidae) de la sierra de Lema, Venezuela. Memoria de la Fundación La Salle de Ciencias Naturales, 150(160), 7–25.",
