"name","longitude","latitude","reference","GBIF ID","full reference","comment"
"Monodelphis palliolata",-72.267,8.033,"Brown 2004",,"Brown, B. E. (2004). Atlas of New World marsupials (pp. 1–320). Field Museum of Natural History,. https://doi.org/10.5962/bhl.title.3410",
"Monodelphis palliolata",-71.783,8.383,"Brown 2004",,"Brown, B. E. (2004). Atlas of New World marsupials (pp. 1–320). Field Museum of Natural History,. https://doi.org/10.5962/bhl.title.3410",
"Monodelphis palliolata",-71.65,8.417,"Brown 2004",,"Brown, B. E. (2004). Atlas of New World marsupials (pp. 1–320). Field Museum of Natural History,. https://doi.org/10.5962/bhl.title.3410",
"Monodelphis palliolata",-70.417,8.667,"Brown 2004",,"Brown, B. E. (2004). Atlas of New World marsupials (pp. 1–320). Field Museum of Natural History,. https://doi.org/10.5962/bhl.title.3410",
"Monodelphis palliolata",-70.517,8.833,"Brown 2004",,"Brown, B. E. (2004). Atlas of New World marsupials (pp. 1–320). Field Museum of Natural History,. https://doi.org/10.5962/bhl.title.3410",
"Monodelphis palliolata",-70.5,8.83,"Brown 2004",,"Brown, B. E. (2004). Atlas of New World marsupials (pp. 1–320). Field Museum of Natural History,. https://doi.org/10.5962/bhl.title.3410",
"Monodelphis palliolata",-71.383,8.85,"Brown 2004",,"Brown, B. E. (2004). Atlas of New World marsupials (pp. 1–320). Field Museum of Natural History,. https://doi.org/10.5962/bhl.title.3410",
"Monodelphis palliolata",-70.617,9.317,"Brown 2004",,"Brown, B. E. (2004). Atlas of New World marsupials (pp. 1–320). Field Museum of Natural History,. https://doi.org/10.5962/bhl.title.3410",
"Monodelphis palliolata",-71.067,9.467,"Brown 2004",,"Brown, B. E. (2004). Atlas of New World marsupials (pp. 1–320). Field Museum of Natural History,. https://doi.org/10.5962/bhl.title.3410",
"Monodelphis palliolata",-72.717,9.867,"Brown 2004",,"Brown, B. E. (2004). Atlas of New World marsupials (pp. 1–320). Field Museum of Natural History,. https://doi.org/10.5962/bhl.title.3410",
"Monodelphis palliolata",-68.65,9.883,"Brown 2004",,"Brown, B. E. (2004). Atlas of New World marsupials (pp. 1–320). Field Museum of Natural History,. https://doi.org/10.5962/bhl.title.3410",
"Monodelphis palliolata",-68.067,9.95,"Brown 2004",,"Brown, B. E. (2004). Atlas of New World marsupials (pp. 1–320). Field Museum of Natural History,. https://doi.org/10.5962/bhl.title.3410",
"Monodelphis palliolata",-69.15,10.067,"Brown 2004",,"Brown, B. E. (2004). Atlas of New World marsupials (pp. 1–320). Field Museum of Natural History,. https://doi.org/10.5962/bhl.title.3410",
"Monodelphis palliolata",-66.4,10.083,"Brown 2004",,"Brown, B. E. (2004). Atlas of New World marsupials (pp. 1–320). Field Museum of Natural History,. https://doi.org/10.5962/bhl.title.3410",
"Monodelphis palliolata",-72.75,10.083,"Brown 2004",,"Brown, B. E. (2004). Atlas of New World marsupials (pp. 1–320). Field Museum of Natural History,. https://doi.org/10.5962/bhl.title.3410",
"Monodelphis palliolata",-68.333,10.183,"Brown 2004",,"Brown, B. E. (2004). Atlas of New World marsupials (pp. 1–320). Field Museum of Natural History,. https://doi.org/10.5962/bhl.title.3410",
"Monodelphis palliolata",-65.933,10.333,"Brown 2004",,"Brown, B. E. (2004). Atlas of New World marsupials (pp. 1–320). Field Museum of Natural History,. https://doi.org/10.5962/bhl.title.3410",
"Monodelphis palliolata",-66.9,10.35,"Brown 2004",,"Brown, B. E. (2004). Atlas of New World marsupials (pp. 1–320). Field Museum of Natural History,. https://doi.org/10.5962/bhl.title.3410",
"Monodelphis palliolata",-67.67,10.35,"Brown 2004",,"Brown, B. E. (2004). Atlas of New World marsupials (pp. 1–320). Field Museum of Natural History,. https://doi.org/10.5962/bhl.title.3410",
"Monodelphis palliolata",-66.75,10.367,"Brown 2004",,"Brown, B. E. (2004). Atlas of New World marsupials (pp. 1–320). Field Museum of Natural History,. https://doi.org/10.5962/bhl.title.3410",
"Monodelphis palliolata",-66.8,10.367,"Brown 2004",,"Brown, B. E. (2004). Atlas of New World marsupials (pp. 1–320). Field Museum of Natural History,. https://doi.org/10.5962/bhl.title.3410",
"Monodelphis palliolata",-66.783,10.4,"Brown 2004",,"Brown, B. E. (2004). Atlas of New World marsupials (pp. 1–320). Field Museum of Natural History,. https://doi.org/10.5962/bhl.title.3410",
"Monodelphis palliolata",-68.9,10.417,"Brown 2004",,"Brown, B. E. (2004). Atlas of New World marsupials (pp. 1–320). Field Museum of Natural History,. https://doi.org/10.5962/bhl.title.3410",
"Monodelphis palliolata",-66.267,10.433,"Brown 2004",,"Brown, B. E. (2004). Atlas of New World marsupials (pp. 1–320). Field Museum of Natural History,. https://doi.org/10.5962/bhl.title.3410",
"Monodelphis palliolata",-68,10.433,"Brown 2004",,"Brown, B. E. (2004). Atlas of New World marsupials (pp. 1–320). Field Museum of Natural History,. https://doi.org/10.5962/bhl.title.3410",
"Monodelphis palliolata",-68.017,10.433,"Brown 2004",,"Brown, B. E. (2004). Atlas of New World marsupials (pp. 1–320). Field Museum of Natural History,. https://doi.org/10.5962/bhl.title.3410",
"Monodelphis palliolata",-66.867,10.45,"Brown 2004",,"Brown, B. E. (2004). Atlas of New World marsupials (pp. 1–320). Field Museum of Natural History,. https://doi.org/10.5962/bhl.title.3410",
"Monodelphis palliolata",-67.283,10.467,"Brown 2004",,"Brown, B. E. (2004). Atlas of New World marsupials (pp. 1–320). Field Museum of Natural History,. https://doi.org/10.5962/bhl.title.3410",
"Monodelphis palliolata",-66.27,10.48,"Brown 2004",,"Brown, B. E. (2004). Atlas of New World marsupials (pp. 1–320). Field Museum of Natural History,. https://doi.org/10.5962/bhl.title.3410",
"Monodelphis palliolata",-67.32,10.48,"Brown 2004",,"Brown, B. E. (2004). Atlas of New World marsupials (pp. 1–320). Field Museum of Natural History,. https://doi.org/10.5962/bhl.title.3410",
"Monodelphis palliolata",-66.233,10.483,"Brown 2004",,"Brown, B. E. (2004). Atlas of New World marsupials (pp. 1–320). Field Museum of Natural History,. https://doi.org/10.5962/bhl.title.3410",
"Monodelphis palliolata",-66.633,10.5,"Brown 2004",,"Brown, B. E. (2004). Atlas of New World marsupials (pp. 1–320). Field Museum of Natural History,. https://doi.org/10.5962/bhl.title.3410",
"Monodelphis palliolata",-66.867,10.5,"Brown 2004",,"Brown, B. E. (2004). Atlas of New World marsupials (pp. 1–320). Field Museum of Natural History,. https://doi.org/10.5962/bhl.title.3410",
"Monodelphis palliolata",-66.867,10.517,"Brown 2004",,"Brown, B. E. (2004). Atlas of New World marsupials (pp. 1–320). Field Museum of Natural History,. https://doi.org/10.5962/bhl.title.3410",
"Monodelphis palliolata",-66.95,10.55,"Brown 2004",,"Brown, B. E. (2004). Atlas of New World marsupials (pp. 1–320). Field Museum of Natural History,. https://doi.org/10.5962/bhl.title.3410",
"Monodelphis palliolata",-68.25,10.58,"Brown 2004",,"Brown, B. E. (2004). Atlas of New World marsupials (pp. 1–320). Field Museum of Natural History,. https://doi.org/10.5962/bhl.title.3410",
"Monodelphis palliolata",-66.583,10.583,"Brown 2004",,"Brown, B. E. (2004). Atlas of New World marsupials (pp. 1–320). Field Museum of Natural History,. https://doi.org/10.5962/bhl.title.3410",
"Monodelphis palliolata",-62.467,10.6,"Brown 2004",,"Brown, B. E. (2004). Atlas of New World marsupials (pp. 1–320). Field Museum of Natural History,. https://doi.org/10.5962/bhl.title.3410",
